off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
89,36,.437,69,2007-08,23,ATL,107,322,245,944,C,159,regular,24,13,62
173,57,.497,91,2008-09,24,ATL,159,481,320,1473,C,263,regular,35,26,77
117,42,.488,58,2009-10,25,ATL,120,333,246,1089,C,176,regular,37,31,78
119,58,.461,69,2010-11,26,ATL,107,349,232,1244,C,214,regular,34,22,79
154,79,.499,81,2011-12,27,ATL,169,455,339,1640,C,303,regular,55,29,58
132,79,.473,70,2012-13,28,ATL,114,306,241,1134,C,204,regular,35,12,52
141,136,.427,92,2013-14,29,MIL,149,408,349,1325,C,192,regular,45,14,53
197,178,.454,133,2014-15,30,MIL,240,606,529,1730,C,303,regular,80,21,73
249,128,.466,119,2015-16,31,DAL,219,650,470,2004,C,469,regular,64,22,76
140,132,.534,87,2016-17,32,GSW,164,426,307,1268,C,270,regular,59,33,70
9,2,.280,9,2007-08,23,ATL,7,29,25,105,C,11,playoffs,2,0,7
28,3,.415,14,2008-09,24,ATL,22,76,53,260,C,48,playoffs,5,3,11
19,3,.514,9,2009-10,25,ATL,18,51,35,161,C,19,playoffs,2,7,11
17,13,.478,9,2010-11,26,ATL,11,39,23,195,C,37,playoffs,2,1,11
11,9,.400,5,2014-15,30,MIL,16,40,40,129,C,29,playoffs,10,3,6
10,16,.375,2,2015-16,31,DAL,9,33,24,112,C,17,playoffs,3,1,5
18,12,.533,14,2016-17,32,GSW,32,77,60,212,C,39,playoffs,8,4,15
