Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Player URL,
1,2008,2008,SAC,NBA,Shareef Abdur-Rahim,6,0,51,3,14,3,14,0,0,4,4,6,4,10,4,1,0,1,9,10,.214,.214,,.214,1.000,.317,/players/a/abdursh01.html,
2,2017,2017,OKC,NBA,Alex Abrines,68,6,1055,134,341,40,94,94,247,44,49,18,68,86,40,37,8,33,114,406,.393,.426,.381,.531,.898,.560,/players/a/abrinal01.html,
3,2009,2009,TOT,NBA,Alex Acker,25,0,199,30,76,23,56,7,20,5,10,8,16,24,12,5,4,7,9,72,.395,.411,.350,.441,.500,.448,/players/a/ackeral01.html,
4,2013,2017,TOT,NBA,Quincy Acy,257,52,3910,449,931,370,715,79,216,237,316,266,631,897,152,106,102,155,492,1214,.482,.517,.366,.525,.750,.567,/players/a/acyqu01.html,
5,2009,2009,TOR,NBA,Hassan Adams,12,0,52,4,13,4,13,0,0,3,6,1,6,7,1,1,1,4,4,11,.308,.308,,.308,.500,.352,/players/a/adamsha01.html,
6,2015,2016,MEM,NBA,Jordan Adams,32,0,263,37,92,27,66,10,26,17,28,9,21,30,19,19,7,16,26,101,.402,.409,.385,.457,.607,.484,/players/a/adamsjo01.html,
7,2014,2017,OKC,NBA,Steven Adams,311,247,7371,945,1665,945,1662,0,3,453,794,841,1160,2001,257,209,310,400,843,2343,.568,.569,.000,.568,.571,.582,/players/a/adamsst01.html,
8,2011,2015,TOT,NBA,Jeff Adrien,153,17,2148,264,557,264,555,0,2,181,288,221,438,659,100,50,79,91,259,709,.474,.476,.000,.474,.628,.518,/players/a/adrieje01.html,
9,2008,2017,TOT,NBA,Arron Afflalo,709,534,20147,2918,6471,2093,4336,825,2135,1358,1647,330,1780,2110,1356,337,132,831,1425,8019,.451,.483,.386,.515,.825,.557,/players/a/afflaar01.html,
10,2008,2011,TOT,NBA,Maurice Ager,50,3,291,42,119,36,90,6,29,10,20,7,18,25,12,2,3,14,38,100,.353,.400,.207,.378,.500,.391,/players/a/agerma01.html,
11,2008,2012,TOT,NBA,Blake Ahearn,19,0,226,21,77,7,30,14,47,32,33,1,21,22,22,7,0,22,27,88,.273,.233,.298,.364,.970,.481,/players/a/ahearbl01.html,
12,2009,2017,TOT,NBA,Alexis Ajinca,293,76,3905,645,1283,633,1241,12,42,251,315,346,804,1150,143,102,181,249,661,1553,.503,.510,.286,.507,.797,.546,/players/a/ajincal01.html,
13,2013,2013,DAL,NBA,Josh Akognon,3,0,9,2,4,1,2,1,2,0,0,0,1,1,1,0,0,0,3,5,.500,.500,.500,.625,,.625,/players/a/akognjo01.html,
14,2011,2012,TOR,NBA,Solomon Alabi,26,0,181,16,51,16,51,0,0,7,10,22,39,61,5,4,11,8,16,39,.314,.314,,.314,.700,.352,/players/a/alabiso01.html,
15,2015,2015,PHI,NBA,Furkan Aldemir,41,9,540,40,78,40,73,0,5,13,27,78,98,176,28,17,16,17,96,93,.513,.548,.000,.513,.481,.517,/players/a/aldemfu01.html,
16,2011,2017,TOT,NBA,Cole Aldrich,318,23,3340,430,810,430,810,0,0,178,238,331,785,1116,180,135,232,198,498,1038,.531,.531,,.531,.748,.567,/players/a/aldrico01.html,
17,2008,2017,TOT,NBA,LaMarcus Aldridge,731,731,26176,5916,12180,5832,11889,84,291,2655,3297,1940,4337,6277,1486,589,754,1200,1819,14571,.486,.491,.289,.489,.805,.534,/players/a/aldrila01.html,
18,2016,2016,POR,NBA,Cliff Alexander,8,0,36,5,10,5,10,0,0,0,0,2,4,6,0,1,2,1,1,10,.500,.500,,.500,,.500,/players/a/alexacl01.html,
19,2009,2010,TOT,NBA,Joe Alexander,67,0,745,103,251,87,204,16,47,60,86,46,74,120,44,16,30,52,116,282,.410,.426,.340,.442,.698,.488,/players/a/alexajo01.html,
20,2012,2017,TOT,NBA,Lavoy Allen,388,87,6905,828,1758,826,1743,2,15,189,277,715,1128,1843,384,120,214,257,706,1847,.471,.474,.133,.472,.682,.491,/players/a/allenla01.html,
21,2008,2011,TOT,NBA,Malik Allen,191,22,2309,287,644,285,635,2,9,46,61,149,264,413,99,38,52,90,336,622,.446,.449,.222,.447,.754,.464,/players/a/allenma01.html,
22,2008,2014,TOT,NBA,Ray Allen,510,363,16745,2640,5664,1587,3074,1053,2590,1218,1338,314,1323,1637,1259,445,101,762,960,7551,.466,.516,.407,.559,.910,.604,/players/a/allenra02.html,
23,2008,2017,TOT,NBA,Tony Allen,637,380,14737,2098,4436,2008,4102,90,334,1025,1468,849,1532,2381,881,971,280,880,1529,5311,.473,.490,.269,.483,.698,.523,/players/a/allento01.html,
24,2008,2008,CLE,NBA,Lance Allred,3,0,10,1,4,1,4,0,0,1,2,0,1,1,0,0,0,0,1,3,.250,.250,,.250,.500,.307,/players/a/allrela01.html,
25,2008,2012,TOT,NBA,Morris Almond,38,1,361,43,113,36,89,7,24,26,35,10,36,46,12,12,4,19,42,119,.381,.404,.292,.412,.743,.463,/players/a/almonmo01.html,
26,2008,2010,TOT,NBA,Rafer Alston,203,188,6394,835,2190,522,1284,313,906,313,426,74,542,616,974,256,38,395,377,2296,.381,.407,.345,.453,.735,.483,/players/a/alstora01.html,
27,2011,2017,TOT,NBA,Al-Farouq Aminu,520,281,12520,1398,3281,1093,2339,305,942,665,917,727,2221,2948,639,494,307,667,967,3766,.426,.467,.324,.473,.725,.511,/players/a/aminual01.html,
28,2008,2016,TOT,NBA,Lou Amundson,417,42,5418,642,1353,642,1350,0,3,264,593,631,882,1513,189,151,298,294,820,1548,.475,.476,.000,.475,.445,.480,/players/a/amundlo01.html,
29,2008,2017,TOT,NBA,Chris Andersen,442,37,8075,860,1494,845,1435,15,59,726,1064,742,1538,2280,186,219,648,302,870,2461,.576,.589,.254,.581,.682,.627,/players/a/anderch01.html,
30,2010,2011,TOT,NBA,David Andersen,103,0,1264,203,461,168,360,35,101,60,89,74,218,292,57,20,21,59,159,501,.440,.467,.347,.478,.674,.501,/players/a/anderda03.html,
31,2012,2017,TOT,NBA,Alan Anderson,277,59,5973,731,1822,429,937,302,885,352,431,117,495,612,318,164,27,236,521,2116,.401,.458,.341,.484,.817,.526,/players/a/anderal01.html,
32,2010,2010,OKC,NBA,Antonio Anderson,1,0,15,1,3,1,3,0,0,0,0,1,0,1,0,0,0,1,1,2,.333,.333,,.333,,.333,/players/a/anderan02.html,
33,2008,2008,CHA,NBA,Derek Anderson,28,0,396,47,125,28,73,19,52,28,38,9,43,52,44,12,1,25,49,141,.376,.384,.365,.452,.737,.497,/players/a/anderde01.html,
34,2011,2016,TOT,NBA,James Anderson,247,83,4320,525,1276,329,665,196,611,176,233,108,452,560,291,121,55,216,292,1422,.411,.495,.321,.488,.755,.516,/players/a/anderja01.html,
35,2016,2017,TOT,NBA,Justin Anderson,130,19,1875,257,614,177,337,80,277,146,184,87,290,377,95,60,48,90,154,740,.419,.525,.289,.484,.793,.532,/players/a/anderju01.html,
