off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
70,41,.505,57,2007-08,23,CHI,103,262,204,613,C,98,regular,21,16,61
84,46,.485,40,2008-09,24,CHI,81,196,167,715,C,136,regular,14,18,56
45,22,.512,18,2009-10,25,TOT,42,104,82,311,C,61,regular,9,11,32
5,2,.381,1,2009-10,25,CHI,8,18,21,50,C,11,regular,0,0,8
40,20,.557,17,2009-10,25,NOH,34,86,61,261,C,50,regular,9,11,24
59,16,.566,32,2010-11,26,NOH,56,129,99,531,C,112,regular,11,12,41
83,27,.516,51,2011-12,27,TOR,83,191,161,813,C,198,regular,22,17,49
48,33,.533,36,2012-13,28,TOR,48,119,90,513,C,85,regular,7,5,42
42,22,.443,31,2013-14,29,TOT,27,65,61,355,C,69,regular,10,8,37
3,3,.667,4,2013-14,29,TOR,2,5,3,20,C,5,regular,0,0,4
39,19,.431,27,2013-14,29,SAC,25,60,58,335,C,64,regular,10,8,33
0,0,.000,1,2008-09,24,CHI,0,0,2,9,C,1,playoffs,0,0,2
3,2,.692,5,2010-11,26,NOH,9,21,13,87,C,18,playoffs,2,2,6
