off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
308,117,.500,167,2007-08,23,MIN,721,1726,1441,2919,C,603,regular,74,119,82
172,79,.497,92,2008-09,24,MIN,485,1156,975,1836,C,376,regular,39,83,50
180,137,.498,136,2009-10,25,MIN,560,1301,1125,2463,C,523,regular,63,98,76
235,149,.496,105,2010-11,26,UTA,654,1528,1319,2940,C,559,regular,46,153,82
133,134,.493,62,2011-12,27,UTA,516,1170,1048,2075,C,452,regular,47,101,61
156,164,.495,105,2012-13,28,UTA,611,1391,1236,2578,C,564,regular,80,89,78
156,155,.510,124,2013-14,29,CHA,700,1594,1376,2553,C,636,regular,67,79,73
99,113,.482,68,2014-15,30,CHO,486,1082,1010,1992,C,449,regular,47,84,65
57,70,.485,34,2015-16,31,CHO,245,562,505,1096,C,244,regular,30,41,47
75,57,.499,33,2016-17,32,IND,235,535,471,931,C,203,regular,19,16,66
7,10,.529,5,2011-12,27,UTA,36,73,68,141,C,27,playoffs,5,3,4
6,2,.491,1,2013-14,29,CHA,26,56,53,106,C,22,playoffs,1,5,3
14,8,.506,6,2015-16,31,CHO,42,93,83,168,C,29,playoffs,4,3,7
