off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
75,60,.450,103,2010-11,20,LAC,160,457,406,1452,SF,192,regular,59,25,81
95,66,.429,91,2011-12,21,NOH,150,399,365,1477,SF,213,regular,59,34,66
139,103,.479,116,2012-13,22,NOH,225,555,474,2066,SF,446,regular,92,51,76
129,114,.487,88,2013-14,23,NOP,234,572,494,2045,SF,367,regular,82,38,80
114,59,.459,55,2014-15,24,DAL,147,412,357,1366,SF,228,regular,70,62,74
98,138,.503,120,2015-16,25,POR,299,839,719,2341,SF,401,regular,72,53,82
77,99,.468,94,2016-17,26,POR,183,532,466,1773,PF,374,regular,60,44,61
14,6,.661,6,2014-15,24,DAL,17,56,31,150,SF,22,playoffs,10,8,5
23,20,.547,21,2015-16,25,POR,56,161,128,372,SF,72,playoffs,8,10,11
5,4,.554,9,2016-17,26,POR,17,48,37,113,PF,21,playoffs,3,4,4
