off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
178,118,.592,174,2007-08,25,PHO,714,1989,1211,2677,C,541,regular,64,163,79
116,104,.541,150,2008-09,26,PHO,404,1134,749,1948,PF,314,regular,49,57,53
230,82,.557,213,2009-10,27,PHO,704,1896,1264,2838,PF,502,regular,52,83,82
198,202,.505,250,2010-11,28,NYK,744,1971,1482,2870,C,438,regular,71,150,78
106,52,.487,112,2011-12,29,NYK,316,823,654,1543,PF,261,regular,38,45,47
60,13,.577,50,2012-13,30,NYK,154,413,267,682,PF,85,regular,10,21,29
112,34,.557,91,2013-14,31,NYK,311,772,558,1466,C,208,regular,23,37,65
110,45,.557,78,2014-15,32,TOT,273,680,490,1245,PF,219,regular,29,38,59
83,37,.543,63,2014-15,32,NYK,169,432,311,865,PF,162,regular,20,34,36
27,8,.581,15,2014-15,32,DAL,104,248,179,380,PF,57,regular,9,4,23
65,27,.566,47,2015-16,33,MIA,125,300,221,762,C,157,regular,18,41,52
15,2,.490,14,2007-08,25,PHO,48,116,99,204,C,30,playoffs,7,12,5
46,18,.519,40,2009-10,27,PHO,124,355,239,584,PF,60,playoffs,11,24,16
11,7,.382,12,2010-11,28,NYK,21,58,55,134,C,20,playoffs,1,3,4
8,3,.556,12,2011-12,29,NYK,20,61,36,139,PF,18,playoffs,5,1,4
4,0,.423,3,2012-13,30,NYK,5,15,13,33,PF,5,playoffs,0,0,4
7,3,.429,7,2014-15,32,DAL,15,39,35,75,PF,9,playoffs,1,3,5
3,0,.579,9,2015-16,33,MIA,11,30,19,82,C,10,playoffs,5,3,9
