off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
134,53,.461,59,2007-08,25,CLE,136,321,295,1320,C,265,regular,37,26,48
166,81,.536,80,2008-09,26,CLE,270,694,504,2306,PF,415,regular,75,66,81
189,87,.573,67,2009-10,27,CLE,267,651,467,2166,PF,389,regular,71,67,76
98,45,.528,40,2010-11,28,CLE,114,282,216,994,C,203,regular,27,38,31
109,43,.514,45,2011-12,29,CLE,114,271,222,785,C,178,regular,35,17,25
138,84,.478,44,2012-13,30,CLE,138,353,289,901,C,223,regular,37,14,25
187,140,.495,72,2013-14,31,CLE,227,546,459,1800,C,442,regular,69,39,65
57,35,.555,35,2014-15,32,CLE,111,255,200,636,C,113,regular,19,16,26
37,35,.427,22,2015-16,33,TOT,53,138,124,496,C,104,regular,16,10,53
24,20,.421,16,2015-16,33,CLE,32,80,76,310,C,67,regular,11,5,31
13,15,.438,6,2015-16,33,GSW,21,58,48,186,C,37,regular,5,5,22
12,10,.357,8,2016-17,34,GSW,5,18,14,92,C,15,regular,3,3,14
20,9,.407,9,2007-08,25,CLE,22,53,54,240,C,47,playoffs,8,1,13
41,8,.500,15,2008-09,26,CLE,41,97,82,420,PF,49,playoffs,18,16,14
22,7,.417,12,2009-10,27,CLE,20,63,48,255,PF,49,playoffs,11,9,11
12,13,.357,2,2015-16,33,GSW,5,20,14,93,C,9,playoffs,2,2,17
