off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
164,92,.477,112,2007-08,21,WAS,254,618,536,1675,PF,261,regular,53,114,82
126,118,.475,117,2008-09,22,WAS,297,713,630,1703,C,252,regular,53,74,71
158,170,.485,182,2009-10,23,WAS,478,1143,999,2256,PF,351,regular,85,71,81
183,144,.447,172,2010-11,24,WAS,426,1076,957,2172,PF,343,regular,98,51,64
42,28,.384,37,2011-12,25,WAS,93,221,245,626,PF,108,regular,20,17,26
161,85,.514,123,2012-13,26,BRK,346,843,676,1555,C,256,regular,86,54,82
120,112,.487,110,2013-14,27,BRK,321,821,674,1618,PF,270,regular,75,38,73
7,1,.429,5,2007-08,21,WAS,9,22,21,89,PF,13,playoffs,2,6,6
10,9,.500,5,2012-13,26,BRK,29,72,58,138,C,24,playoffs,2,3,7
25,4,.448,10,2013-14,27,BRK,26,77,58,172,PF,35,playoffs,6,2,12
