off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
85,391,.495,214,2007-08,24,PHI,582,1630,1277,3242,SF,361,regular,171,49,82
92,434,.507,222,2008-09,25,PHI,542,1541,1147,3269,SF,379,regular,131,36,82
82,472,.485,218,2009-10,26,PHI,496,1401,1120,3193,SF,447,regular,141,55,82
61,422,.486,138,2010-11,27,PHI,338,945,759,2469,SF,326,regular,101,38,67
56,339,.514,115,2011-12,28,PHI,287,771,632,2209,SF,325,regular,107,30,62
82,433,.502,206,2012-13,29,DEN,396,1038,879,2779,SG,341,regular,139,52,80
53,263,.548,100,2013-14,30,GSW,220,588,458,2040,SF,240,regular,95,18,63
44,228,.540,88,2014-15,31,GSW,231,604,496,2069,SF,213,regular,89,25,77
52,219,.552,79,2015-16,32,GSW,176,457,368,1732,SF,211,regular,73,19,65
51,261,.605,58,2016-17,33,GSW,219,574,415,1998,SF,253,regular,76,39,76
6,30,.348,26,2007-08,24,PHI,23,79,69,234,SF,23,playoffs,13,1,6
6,40,.505,24,2008-09,25,PHI,44,129,98,269,SF,32,playoffs,11,0,6
7,34,.452,14,2010-11,27,PHI,22,57,52,182,SF,28,playoffs,5,2,5
17,48,.447,19,2011-12,28,PHI,58,168,151,505,SF,57,playoffs,19,5,13
9,32,.592,17,2012-13,29,DEN,38,108,76,243,SG,39,playoffs,12,2,6
5,31,.581,21,2013-14,30,GSW,32,92,62,248,SF,28,playoffs,9,2,7
16,75,.558,14,2014-15,31,GSW,81,218,171,635,SF,78,playoffs,25,7,21
35,90,.552,23,2015-16,32,GSW,78,213,164,767,SF,70,playoffs,29,10,24
9,51,.495,16,2016-17,33,GSW,46,115,101,419,SF,56,playoffs,14,7,16
