off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
95,565,.494,206,2007-08,31,PHI,569,1398,1156,3016,PG,229,regular,105,6,82
123,534,.480,199,2008-09,32,PHI,492,1337,1041,2976,PG,245,regular,109,14,82
81,445,.454,173,2009-10,33,POR,404,1146,908,2500,PG,185,regular,93,9,82
97,566,.462,197,2010-11,34,POR,388,1029,844,2650,PG,205,regular,114,12,81
53,441,.455,177,2011-12,35,DEN,242,639,552,1809,SG,168,regular,63,9,66
60,484,.493,172,2012-13,36,DEN,303,786,632,2151,PG,178,regular,73,11,82
28,197,.483,61,2013-14,37,TOT,106,283,231,982,SG,102,regular,34,9,58
16,100,.490,33,2013-14,37,DEN,66,176,144,570,SG,57,regular,15,7,30
12,97,.471,28,2013-14,37,WAS,40,107,87,412,SG,45,regular,19,2,28
37,284,.512,104,2014-15,38,TOT,145,355,290,1253,PG,116,regular,32,6,81
21,143,.546,46,2014-15,38,WAS,77,183,142,631,PG,56,regular,14,2,51
16,141,.480,58,2014-15,38,SAC,68,172,148,622,PG,60,regular,18,4,30
12,87,.566,37,2015-16,39,TOT,59,144,106,461,PG,39,regular,16,0,39
6,58,.629,25,2015-16,39,MIN,36,88,58,280,PG,18,regular,9,0,26
6,29,.490,12,2015-16,39,SAS,23,56,48,181,PG,21,regular,7,0,13
7,20,.438,14,2007-08,31,PHI,39,92,89,229,PG,12,playoffs,5,0,6
9,32,.490,19,2008-09,32,PHI,48,127,101,258,PG,29,playoffs,7,1,6
5,36,.426,19,2009-10,33,POR,30,94,74,210,PG,14,playoffs,7,1,6
5,33,.522,13,2010-11,34,POR,33,89,67,194,PG,14,playoffs,2,0,6
14,42,.452,17,2011-12,35,DEN,31,79,73,200,SG,25,playoffs,9,1,7
11,23,.457,16,2012-13,36,DEN,29,84,69,154,PG,9,playoffs,2,0,6
2,9,.476,8,2013-14,37,WAS,19,44,41,108,SG,9,playoffs,3,0,11
2,7,.500,0,2015-16,39,SAS,3,9,7,35,PG,3,playoffs,0,0,5
