off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
105,61,.636,52,2007-08,20,LAL,189,460,297,1008,C,251,regular,12,72,35
137,71,.560,85,2008-09,21,LAL,281,714,502,1446,C,261,regular,18,90,50
177,68,.570,115,2009-10,22,LAL,392,977,688,1977,C,364,regular,35,94,65
170,73,.574,74,2010-11,23,LAL,237,612,413,1500,C,338,regular,19,106,54
192,85,.558,152,2011-12,24,LAL,444,1123,796,2112,C,517,regular,27,116,60
53,29,.418,34,2013-14,26,TOT,94,225,225,516,C,92,regular,6,29,26
47,27,.419,30,2013-14,26,CLE,85,202,203,480,C,79,regular,6,28,24
6,2,.409,4,2013-14,26,IND,9,23,22,36,C,13,regular,0,1,2
33,10,.457,19,2008-09,21,LAL,58,144,127,400,C,53,playoffs,8,21,23
59,12,.537,21,2009-10,22,LAL,80,198,149,561,C,100,playoffs,6,36,23
36,8,.543,20,2010-11,23,LAL,57,144,105,320,C,60,playoffs,5,14,10
46,18,.477,16,2011-12,24,LAL,73,200,153,451,C,87,playoffs,5,37,12
