off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
215,120,.478,113,2007-08,31,WAS,618,1689,1417,3061,PF,591,regular,106,34,79
196,153,.507,125,2008-09,32,WAS,674,1801,1441,3096,PF,525,regular,95,25,81
136,84,.502,91,2009-10,33,TOT,478,1235,1036,2406,PF,419,regular,71,21,66
99,52,.491,61,2009-10,33,WAS,315,840,700,1595,PF,263,regular,43,9,41
37,32,.525,30,2009-10,33,CLE,163,395,336,811,PF,156,regular,28,12,25
86,93,.479,77,2010-11,34,CLE,374,1010,876,1842,PF,289,regular,50,30,56
123,131,.447,90,2011-12,35,CLE,421,1118,1044,2151,PF,285,regular,51,43,65
109,50,.537,53,2012-13,36,LAL,267,712,575,1636,PF,253,regular,30,22,76
9,7,.359,7,2013-14,37,LAC,29,84,92,248,PF,46,regular,9,3,22
19,6,.443,10,2007-08,31,WAS,39,101,96,237,PF,53,playoffs,8,8,6
16,14,.504,18,2009-10,33,CLE,64,168,137,375,PF,65,playoffs,7,11,11
1,1,.543,3,2012-13,36,LAL,10,29,23,79,PF,6,playoffs,1,2,4
