off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
36,52,.432,34,2007-08,22,DET,99,276,241,970,SG,101,regular,31,8,75
30,44,.508,43,2008-09,23,DET,131,363,300,1234,SG,104,regular,28,13,74
59,138,.557,74,2009-10,24,DEN,272,724,585,2221,SG,193,regular,46,30,82
45,168,.581,71,2010-11,25,DEN,312,867,627,2324,SG,206,regular,34,31,69
40,149,.534,85,2011-12,26,DEN,329,943,699,2086,SG,157,regular,36,13,62
29,206,.478,138,2012-13,27,ORL,397,1057,905,2307,SF,210,regular,40,11,64
32,248,.522,146,2013-14,28,ORL,464,1330,1011,2552,SG,230,regular,35,3,73
27,129,.491,116,2014-15,29,TOT,375,1035,884,2502,SG,220,regular,41,7,78
21,101,.490,83,2014-15,29,DEN,281,771,657,1750,SG,159,regular,32,5,53
6,28,.493,33,2014-15,29,POR,94,264,227,752,SG,61,regular,9,2,25
23,144,.500,82,2015-16,30,NYK,354,909,799,2371,SG,243,regular,25,10,71
9,78,.514,42,2016-17,31,SAC,185,515,420,1580,SG,116,regular,21,6,61
0,6,.389,1,2007-08,22,DET,7,14,18,84,SG,5,playoffs,4,0,12
1,1,.524,3,2008-09,23,DET,10,25,21,66,SG,2,playoffs,0,2,4
1,7,.719,4,2009-10,24,DEN,20,55,32,120,SG,11,playoffs,1,2,6
0,7,.397,3,2010-11,25,DEN,12,34,34,85,SG,9,playoffs,0,0,3
5,19,.432,9,2011-12,26,DEN,30,76,74,229,SG,20,playoffs,5,2,7
0,2,.208,3,2014-15,29,POR,2,5,12,60,SG,7,playoffs,0,0,3
