off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
34,282,.501,148,2007-08,25,SAC,328,834,708,2080,PG,183,regular,56,10,65
46,342,.486,158,2008-09,26,SAC,321,800,696,2270,PG,174,regular,81,12,73
38,372,.538,136,2009-10,27,SAC,415,1023,841,2477,PG,181,regular,89,10,79
41,386,.539,141,2010-11,28,SAC,412,1086,824,2734,PG,224,regular,94,9,79
26,227,.465,77,2011-12,29,MIL,146,348,332,1080,SG,76,regular,37,1,59
34,302,.477,108,2012-13,30,TOT,210,538,476,1457,SG-PG,107,regular,41,3,66
17,138,.502,53,2012-13,30,MIL,113,263,238,719,SG,61,regular,16,2,39
17,164,.452,55,2012-13,30,ORL,97,275,238,738,PG,46,regular,25,1,27
10,116,.492,47,2013-14,31,TOT,78,200,178,643,SG,49,regular,23,4,41
10,110,.478,42,2013-14,31,NYK,68,173,160,588,SG,47,regular,22,3,31
0,6,.611,5,2013-14,31,MEM,10,27,18,55,SG,2,regular,1,1,10
20,220,.513,89,2014-15,32,MEM,246,605,505,1494,PG,123,regular,46,8,79
8,116,.472,53,2015-16,33,TOT,86,205,198,707,PG,64,regular,14,1,44
2,26,.478,11,2015-16,33,MEM,20,47,46,120,PG,7,regular,3,1,8
6,90,.470,42,2015-16,33,MIA,66,158,152,587,PG,57,regular,11,0,36
6,131,.495,36,2016-17,34,DET,92,227,197,560,PG,51,regular,13,0,39
2,12,.511,9,2013-14,31,MEM,21,55,45,115,SG,10,playoffs,3,0,7
4,21,.452,4,2014-15,32,MEM,31,76,73,175,PG,16,playoffs,5,0,10
