off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
225,86,.531,147,2008-09,20,NJN,448,1068,844,2501,C,440,regular,44,151,82
270,187,.499,204,2009-10,21,NJN,563,1542,1129,3027,C,439,regular,55,139,82
197,129,.492,176,2010-11,22,NJN,644,1673,1309,2889,C,291,regular,47,120,82
8,6,.494,6,2011-12,23,NJN,38,96,77,136,C,10,regular,1,4,5
208,70,.521,131,2012-13,24,BRK,570,1437,1094,2253,C,304,regular,33,154,74
39,16,.563,28,2013-14,25,BRK,129,352,229,533,C,63,regular,9,30,17
214,50,.513,104,2014-15,26,BRK,506,1236,987,2100,C,321,regular,43,126,72
204,147,.512,175,2015-16,27,BRK,591,1501,1157,2457,C,369,regular,58,124,73
121,176,.531,184,2016-17,28,BRK,555,1539,1172,2222,C,282,regular,38,124,75
29,10,.476,16,2012-13,24,BRK,58,156,123,263,C,23,playoffs,6,21,7
20,5,.494,6,2014-15,26,BRK,43,119,87,234,C,34,playoffs,4,13,6
