off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
16,53,.542,27,2007-08,20,UTA,113,297,236,689,SG,62,regular,32,8,60
45,107,.515,64,2008-09,21,UTA,258,657,562,1623,SG,122,regular,46,15,72
42,105,.495,81,2009-10,22,UTA,241,622,562,1497,SF,126,regular,58,17,63
54,135,.468,93,2010-11,23,UTA,366,1000,899,1969,SF,201,regular,74,38,78
27,69,.430,53,2011-12,24,UTA,177,508,465,1145,SG,89,regular,46,18,56
24,63,.518,69,2012-13,25,CLE,255,729,614,1364,SF,150,regular,49,17,65
18,52,.537,44,2013-14,26,CLE,178,503,409,984,SG,85,regular,46,15,51
18,75,.491,73,2014-15,27,IND,329,942,827,1841,SG,196,regular,60,26,70
25,63,.521,70,2015-16,28,IND,259,753,634,1464,SF,150,regular,53,29,64
30,48,.565,40,2016-17,29,IND,281,815,647,1776,SF,199,regular,46,25,76
1,0,.429,2,2007-08,20,UTA,5,12,14,26,SG,4,playoffs,2,0,7
2,1,.350,3,2008-09,21,UTA,6,17,20,58,SG,5,playoffs,2,1,5
5,28,.514,19,2009-10,22,UTA,47,144,106,337,SF,20,playoffs,6,6,10
4,4,.289,3,2015-16,28,IND,10,24,38,92,SF,20,playoffs,1,1,7
4,1,.563,2,2016-17,29,IND,11,29,24,82,SF,4,playoffs,2,1,4
