off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
13,35,.470,18,2007-08,23,GSW,43,118,101,368,PG,19,regular,15,0,32
39,206,.500,92,2008-09,24,GSW,257,730,562,1883,PG,153,regular,96,4,77
28,180,.510,69,2009-10,25,GSW,247,667,528,1788,PG,141,regular,103,8,65
16,186,.426,73,2010-11,26,CHI,146,405,394,1091,PG,78,regular,55,11,82
21,200,.446,97,2011-12,27,CHI,161,474,437,1159,PG,84,regular,45,8,49
38,161,.514,69,2012-13,28,BRK,192,543,459,1521,PG,107,regular,66,12,80
19,107,.516,60,2013-14,29,IND,146,414,334,1193,PG,82,regular,60,8,63
18,208,.518,100,2014-15,30,IND,181,570,417,1422,PG,145,regular,57,9,57
10,88,.394,25,2015-16,31,ORL,47,142,137,656,PG,56,regular,19,5,33
16,114,.452,47,2016-17,32,ORL,96,281,248,1012,PG,73,regular,43,2,62
2,31,.366,17,2010-11,26,CHI,19,51,56,136,PG,12,playoffs,8,0,16
1,33,.276,7,2011-12,27,CHI,14,44,58,164,PG,12,playoffs,5,0,6
5,13,.473,1,2012-13,28,BRK,24,60,55,161,PG,12,playoffs,5,1,7
3,18,.500,14,2013-14,29,IND,37,107,90,342,PG,37,playoffs,16,1,19
