off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
93,284,.501,150,2007-08,27,WAS,439,1180,943,2314,SF,295,regular,128,20,58
118,290,.482,210,2008-09,28,WAS,491,1392,1085,2585,SG,296,regular,106,20,67
104,156,.448,160,2009-10,29,TOT,450,1206,1051,2783,SF-SG,357,regular,116,24,74
68,107,.440,113,2009-10,29,WAS,293,796,694,1853,SF,248,regular,68,15,47
36,49,.464,47,2009-10,29,DAL,157,410,357,930,SG,109,regular,48,9,27
22,46,.487,49,2010-11,30,DAL,170,436,378,867,SF,96,regular,28,8,29
44,78,.472,77,2011-12,31,LAC,287,753,705,1871,SF,186,regular,52,9,63
41,78,.513,72,2012-13,32,LAC,305,813,720,1879,SF,182,regular,51,11,78
21,82,.485,60,2013-14,33,TOT,213,587,540,1419,SF,208,regular,47,17,56
16,56,.462,52,2013-14,33,MIL,137,374,354,821,SF,142,regular,23,11,34
5,26,.530,8,2013-14,33,OKC,76,213,186,598,SF,66,regular,24,6,22
21,79,.511,49,2014-15,34,DET,161,460,396,1623,SF,175,regular,43,4,78
5,10,.449,3,2015-16,35,SAC,25,63,59,176,SF,17,regular,9,1,17
10,23,.489,16,2007-08,27,WAS,40,112,87,246,SF,24,playoffs,11,1,6
3,8,.470,15,2009-10,29,DAL,43,118,99,202,SG,32,playoffs,9,5,6
4,10,.402,16,2011-12,31,LAC,33,86,92,268,SF,26,playoffs,6,2,10
1,0,.522,6,2012-13,32,LAC,22,51,46,136,SF,15,playoffs,2,2,6
11,15,.421,11,2013-14,33,OKC,35,113,108,419,SF,47,playoffs,5,2,18
