off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
145,78,.469,107,2007-08,23,MIL,354,886,814,1829,PF,321,regular,30,35,76
154,137,.488,138,2008-09,24,MIL,487,1264,1089,2095,PF,366,regular,50,56,78
85,53,.499,74,2009-10,25,DET,363,931,827,1848,PF,280,regular,48,55,78
50,48,.530,66,2010-11,26,DET,313,840,708,1666,PF,245,regular,42,42,76
9,6,.467,7,2011-12,27,DET,35,91,91,180,PF,39,regular,7,5,13
49,54,.474,39,2012-13,28,DET,175,467,464,1092,PF,192,regular,31,39,69
6,6,.457,7,2013-14,29,DET,35,92,92,180,PF,28,regular,4,5,20
30,19,.529,28,2014-15,30,DAL,150,403,362,678,PF,119,regular,15,22,64
24,24,.454,31,2015-16,31,DAL,125,319,327,665,PF,128,regular,18,15,62
4,3,.600,0,2014-15,30,DAL,11,30,25,43,PF,9,playoffs,1,1,5
0,1,.292,1,2015-16,31,DAL,3,9,12,20,PF,2,playoffs,0,0,4
