off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
42,529,.526,160,2007-08,31,DET,393,1324,877,2522,PG,170,regular,101,17,78
32,506,.501,177,2008-09,32,TOT,410,1400,980,2789,PG,207,regular,93,18,79
1,15,.381,4,2008-09,32,DET,7,25,21,70,PG,9,regular,3,1,2
31,491,.504,173,2008-09,32,DEN,403,1375,959,2719,PG,198,regular,90,17,77
25,409,.499,177,2009-10,33,DEN,402,1427,962,2490,PG,203,regular,82,9,73
25,387,.519,177,2010-11,34,TOT,339,1208,794,2310,PG,165,regular,71,14,72
12,271,.536,129,2010-11,34,DEN,235,840,536,1646,PG,113,regular,52,12,51
13,116,.483,48,2010-11,34,NYK,104,368,258,664,PG,52,regular,19,2,21
4,80,.469,38,2011-12,35,LAC,83,299,228,607,SG,46,regular,9,3,20
2,49,.527,26,2012-13,36,LAC,53,184,132,418,SG,30,regular,12,1,22
4,42,.392,25,2013-14,37,DET,24,72,79,309,SG,24,regular,8,1,19
6,83,.471,20,2007-08,31,DET,69,241,172,480,PG,38,playoffs,12,1,15
5,109,.569,31,2008-09,32,DEN,90,330,197,619,PG,56,playoffs,20,4,16
1,38,.512,18,2009-10,33,DEN,37,122,83,207,PG,13,playoffs,6,3,6
0,4,.364,3,2010-11,34,NYK,3,10,11,35,PG,2,playoffs,0,0,1
2,6,.389,8,2012-13,36,LAC,11,37,36,115,SG,10,playoffs,1,1,6
