off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
174,171,.499,153,2007-08,23,TOR,507,1496,1027,2425,C,409,regular,63,67,67
215,191,.492,174,2008-09,24,TOR,615,1746,1263,2928,C,556,regular,67,77,77
205,166,.522,169,2009-10,25,TOR,600,1678,1158,2526,C,554,regular,43,68,70
141,144,.499,138,2010-11,26,MIA,524,1438,1056,2795,PF,500,regular,59,49,77
94,103,.493,117,2011-12,27,MIA,393,1025,807,2007,PF,358,regular,51,45,57
131,123,.546,128,2012-13,28,MIA,485,1232,907,2454,C,370,regular,66,101,74
98,87,.555,125,2013-14,29,MIA,492,1281,953,2531,C,424,regular,80,78,79
46,95,.503,95,2014-15,30,MIA,343,928,745,1556,C,264,regular,41,25,44
48,128,.520,78,2015-16,31,MIA,358,1010,767,1778,PF,342,regular,36,34,53
20,18,.478,13,2007-08,23,TOR,42,120,89,199,C,25,playoffs,8,2,5
47,23,.474,40,2010-11,26,MIA,138,390,291,834,PF,131,playoffs,14,19,21
36,8,.517,20,2011-12,27,MIA,73,196,148,439,PF,73,playoffs,6,14,14
38,34,.490,27,2012-13,28,MIA,110,279,240,751,C,129,playoffs,23,36,23
24,21,.572,14,2013-14,29,MIA,116,298,229,686,C,88,playoffs,17,20,20
