off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
13,4,.533,8,2010-11,22,OKC,8,18,15,142,C,22,regular,5,7,18
13,3,.524,9,2011-12,23,OKC,22,57,42,173,C,35,regular,8,16,26
30,9,.550,23,2012-13,24,TOT,44,100,80,388,C,90,regular,5,23,45
12,6,.535,14,2012-13,24,HOU,23,50,43,213,C,45,regular,3,9,30
18,3,.568,9,2012-13,24,SAC,21,50,37,175,C,45,regular,2,14,15
37,14,.541,18,2013-14,25,NYK,33,92,61,330,C,92,regular,8,30,46
101,75,.478,59,2014-15,26,NYK,144,338,301,976,C,237,regular,37,65,61
86,50,.596,64,2015-16,27,LAC,134,328,225,800,C,202,regular,47,68,60
51,25,.523,17,2016-17,28,MIN,45,105,86,531,C,107,regular,25,23,62
5,0,.444,0,2011-12,23,OKC,4,10,9,25,C,8,playoffs,0,0,5
8,3,.667,2,2015-16,27,LAC,10,23,15,77,C,22,playoffs,6,3,6
