off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
20,75,.458,63,2007-08,20,MIA,196,518,514,1441,SG,157,regular,23,9,59
19,71,.494,42,2008-09,21,MIA,242,686,645,1833,SF,170,regular,39,10,75
9,43,.399,24,2009-10,22,MIA,81,223,253,691,SG,73,regular,14,10,45
8,20,.616,17,2010-11,23,OKC,79,239,181,598,SG,64,regular,14,1,43
12,15,.502,16,2011-12,24,OKC,109,311,296,989,SG,110,regular,22,11,57
7,19,.383,15,2012-13,25,TOT,51,137,167,441,SG,54,regular,8,7,49
5,10,.449,6,2012-13,25,HOU,21,55,59,165,SG,13,regular,6,2,16
2,9,.347,9,2012-13,25,CHI,30,82,108,276,SG,41,regular,2,5,33
3,4,.417,6,2008-09,21,MIA,13,37,42,161,SF,14,playoffs,2,0,7
1,1,.536,7,2010-11,23,OKC,22,64,56,195,SG,26,playoffs,3,0,17
0,4,.486,0,2011-12,24,OKC,14,36,37,109,SG,9,playoffs,3,0,16
0,4,.150,4,2012-13,25,CHI,1,3,10,36,SG,3,playoffs,1,0,6
