off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
93,166,.517,171,2007-08,24,IND,537,1567,1205,2876,SF,393,regular,95,84,80
49,183,.518,165,2008-09,25,IND,571,1728,1277,2424,SF,292,regular,69,97,67
67,171,.498,157,2009-10,26,IND,488,1497,1139,2278,SF,275,regular,94,51,62
87,203,.487,206,2010-11,27,IND,535,1622,1260,2763,SF,338,regular,89,62,79
79,109,.481,110,2011-12,28,IND,391,1159,941,2062,SF,228,regular,62,40,62
3,3,.314,4,2012-13,29,IND,10,27,35,74,SF,6,regular,2,1,5
31,41,.448,46,2013-14,30,TOT,116,338,307,847,SF,102,regular,12,17,41
24,33,.428,36,2013-14,30,IND,80,242,223,653,SF,81,regular,9,13,29
7,8,.500,10,2013-14,30,LAC,36,96,84,194,SF,21,regular,3,4,12
20,17,.494,24,2014-15,31,MIA,65,188,162,613,SF,60,regular,13,6,30
6,16,.522,7,2010-11,27,IND,43,108,90,183,SF,22,playoffs,6,1,5
15,27,.471,29,2011-12,28,IND,69,187,174,420,SF,47,playoffs,6,4,11
2,3,.338,3,2013-14,30,LAC,11,34,40,134,SF,18,playoffs,6,1,13
