off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
108,43,.438,47,2008-09,20,MEM,191,422,436,1464,PF,238,regular,52,52,76
37,15,.432,22,2009-10,21,MEM,63,143,146,457,PF,73,regular,14,14,32
115,53,.497,88,2010-11,22,MEM,310,729,624,1609,PF,227,regular,52,63,80
68,33,.458,43,2012-13,24,MEM,162,362,359,970,PF,101,regular,24,33,59
52,61,.424,58,2013-14,25,DEN,162,401,410,1161,SF,158,regular,39,47,68
53,57,.438,47,2014-15,26,DEN,155,382,384,988,PF,118,regular,48,26,58
86,96,.498,66,2015-16,27,DEN,221,527,489,1516,PF,207,regular,53,48,70
25,42,.565,36,2016-17,28,DEN,95,262,215,639,PF,87,regular,19,21,41
14,7,.465,12,2010-11,22,MEM,39,92,85,201,PF,15,playoffs,7,12,13
14,6,.472,7,2012-13,24,MEM,25,58,53,175,PF,24,playoffs,2,4,15
