off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
41,432,.506,202,2009-10,22,NOH,376,946,789,2109,PG,151,regular,78,4,76
40,403,.481,194,2010-11,23,IND,398,1039,870,2360,PG,185,regular,87,14,79
30,287,.472,114,2011-12,24,IND,230,621,523,1878,PG,157,regular,49,14,60
31,415,.504,173,2012-13,25,DAL,341,972,724,2372,PG,188,regular,100,8,81
47,297,.518,132,2013-14,26,LAC,324,911,694,2069,PG,141,regular,93,15,80
19,252,.527,112,2014-15,27,SAC,260,725,550,1565,PG,124,regular,67,14,45
28,318,.542,130,2015-16,28,SAC,377,1035,776,2219,PG,141,regular,76,4,74
23,312,.527,114,2016-17,29,SAC,340,900,714,2063,PG,129,regular,67,9,68
4,20,.435,9,2010-11,23,IND,18,47,46,146,PG,9,playoffs,5,2,5
3,33,.543,11,2011-12,24,IND,36,96,70,205,PG,11,playoffs,14,0,11
10,31,.394,12,2013-14,26,LAC,35,110,90,249,PG,17,playoffs,6,1,13
