off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
180,177,.484,165,2007-08,27,NOH,629,1564,1305,2870,PF,495,regular,62,99,76
160,173,.474,163,2008-09,28,NOH,610,1593,1292,2982,PF,486,regular,49,68,76
164,239,.508,173,2009-10,29,NOH,619,1541,1226,2949,PF,441,regular,76,60,81
155,164,.509,142,2010-11,30,NOH,528,1322,1040,2451,PF,374,regular,67,62,70
118,140,.489,93,2011-12,31,IND,349,842,716,1925,PF,315,regular,52,46,66
145,213,.500,157,2012-13,32,IND,502,1250,1009,2435,PF,418,regular,74,69,73
120,223,.490,133,2013-14,33,IND,458,1118,939,2472,PF,422,regular,61,74,80
108,223,.474,120,2014-15,34,IND,323,769,686,1895,PF,341,regular,48,48,66
72,143,.548,68,2015-16,35,SAS,244,554,448,1404,PF,237,regular,44,55,78
47,151,.542,78,2016-17,36,GSW,135,316,252,854,C,156,regular,42,48,68
21,34,.468,21,2007-08,27,NOH,102,254,219,485,PF,81,playoffs,13,23,12
5,6,.400,14,2008-09,28,NOH,32,90,80,178,PF,32,playoffs,5,2,5
21,22,.446,17,2011-12,31,IND,66,168,148,416,PF,73,playoffs,8,6,11
41,39,.462,45,2012-13,32,IND,115,302,249,689,PF,103,playoffs,13,15,19
24,75,.498,43,2013-14,33,IND,121,287,245,687,PF,104,playoffs,14,15,19
13,13,.482,7,2015-16,35,SAS,25,58,55,176,PF,24,playoffs,6,7,10
7,36,.585,10,2016-17,36,GSW,34,76,59,221,C,39,playoffs,7,13,17
