off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
72,11,.633,41,2008-09,20,LAC,93,228,147,771,C,165,regular,11,59,53
122,21,.605,75,2009-10,21,LAC,144,336,238,1137,C,230,regular,16,62,70
207,42,.686,101,2010-11,22,LAC,234,566,341,2047,C,368,regular,41,142,80
202,17,.632,74,2011-12,23,LAC,206,486,326,1798,C,344,regular,30,134,66
210,28,.643,100,2012-13,24,LAC,314,724,488,2010,C,384,regular,48,112,82
331,74,.676,123,2013-14,25,LAC,348,856,515,2870,C,783,regular,80,203,82
397,61,.711,109,2014-15,26,LAC,379,946,534,2820,C,829,regular,81,183,82
267,90,.703,107,2015-16,27,LAC,357,980,508,2598,C,792,regular,51,177,77
298,96,.714,115,2016-17,28,LAC,412,1029,577,2570,C,816,regular,51,134,81
18,4,.525,7,2011-12,23,LAC,21,50,40,249,C,40,playoffs,7,18,11
15,1,.455,9,2012-13,24,LAC,10,22,22,144,C,23,playoffs,1,10,6
43,10,.730,23,2013-14,25,LAC,46,125,63,442,C,120,playoffs,12,33,13
49,16,.716,17,2014-15,26,LAC,58,183,81,482,C,138,playoffs,16,33,14
30,11,.632,7,2015-16,27,LAC,24,70,38,198,C,68,playoffs,7,16,6
25,5,.705,17,2016-17,28,LAC,43,108,61,264,C,76,playoffs,3,6,7
