off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
53,33,.396,24,2009-10,23,MEM,88,209,222,795,SF,97,regular,28,9,71
2,4,.333,0,2010-11,24,TOT,4,10,12,50,PF,6,regular,1,1,12
2,2,.444,0,2010-11,24,MEM,4,10,9,39,PF,6,regular,1,1,7
0,2,.000,0,2010-11,24,HOU,0,0,3,11,PF,0,regular,0,0,5
28,18,.443,11,2011-12,25,TOT,43,107,105,348,SF-PF,25,regular,12,1,24
0,3,1.000,2,2011-12,25,DEN,6,12,6,21,PF,3,regular,0,0,4
28,15,.409,9,2011-12,25,UTA,37,95,99,327,SF,22,regular,12,1,20
87,61,.491,34,2012-13,26,UTA,149,393,324,1111,SF,101,regular,58,24,66
107,134,.546,79,2013-14,27,ATL,302,810,642,2341,SF,296,regular,108,21,73
99,118,.579,75,2014-15,28,ATL,318,883,653,2189,SF,273,regular,94,17,70
31,27,.474,28,2015-16,29,TOR,105,286,270,786,SF,91,regular,44,6,26
63,74,.499,54,2016-17,30,TOR,220,638,550,1882,SF,212,regular,81,27,72
7,3,.500,3,2011-12,25,UTA,9,19,19,73,SF,8,playoffs,2,1,4
12,11,.561,8,2013-14,27,ATL,23,62,49,246,SF,22,playoffs,5,3,7
26,32,.568,15,2014-15,28,ATL,86,233,177,558,SF,71,playoffs,18,5,16
23,17,.472,18,2015-16,29,TOR,62,177,159,596,SF,58,playoffs,18,7,20
4,5,.500,5,2016-17,30,TOR,15,42,37,155,SF,23,playoffs,8,5,10
