off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
37,252,.487,102,2007-08,26,WAS,301,917,780,2564,SG,198,regular,65,15,82
11,98,.387,32,2008-09,27,WAS,72,211,231,886,SG,65,regular,21,2,32
11,56,.340,30,2009-10,28,TOT,46,136,163,883,SG,80,regular,16,6,64
7,44,.335,24,2009-10,28,WAS,29,87,103,616,SG,58,regular,11,5,40
4,12,.350,6,2009-10,28,DAL,17,49,60,267,SG,22,regular,5,1,24
20,77,.530,44,2010-11,29,DAL,128,383,330,1158,SG,86,regular,21,5,72
7,41,.404,19,2011-12,30,NJN,49,148,172,960,SF,94,regular,19,4,51
18,52,.519,23,2012-13,31,ATL,98,284,262,1158,SG,104,regular,29,6,56
2,18,.483,9,2007-08,26,WAS,22,74,60,196,SG,11,playoffs,6,0,6
0,0,.000,0,2009-10,28,DAL,0,0,3,6,SG,0,playoffs,0,0,2
1,12,.512,10,2010-11,29,DAL,29,94,83,332,SG,18,playoffs,11,2,21
3,1,.900,2,2012-13,31,ATL,3,9,5,45,SG,7,playoffs,0,0,4
