off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
24,239,.508,90,2007-08,33,LAL,339,956,777,2249,PG,146,regular,86,3,82
25,261,.512,72,2008-09,34,LAL,292,814,688,2441,PG,163,regular,95,6,82
25,201,.450,78,2009-10,35,LAL,212,615,558,2227,PG,145,regular,90,9,82
14,224,.449,70,2010-11,36,LAL,206,558,529,2297,PG,138,regular,99,8,82
12,170,.421,73,2011-12,37,TOT,129,350,348,1508,PG,109,regular,51,4,63
10,142,.433,58,2011-12,37,LAL,92,252,240,1101,PG,82,regular,40,3,43
2,28,.394,15,2011-12,37,OKC,37,98,108,407,PG,27,regular,11,1,20
2,47,.435,30,2012-13,38,TOT,55,175,161,575,SG-PG,35,regular,19,3,33
0,31,.431,18,2012-13,38,DAL,23,77,65,229,PG,15,regular,5,2,9
2,16,.438,12,2012-13,38,OKC,32,98,96,346,SG,20,regular,14,1,24
12,117,.512,49,2013-14,39,OKC,141,425,361,1428,SG,110,regular,70,3,81
2,52,.527,20,2007-08,33,LAL,66,215,146,663,PG,45,playoffs,43,3,21
7,49,.453,24,2008-09,34,LAL,63,176,160,635,PG,38,playoffs,21,1,22
9,64,.522,36,2009-10,35,LAL,82,237,183,754,PG,49,playoffs,28,1,23
1,36,.485,8,2010-11,36,LAL,29,82,67,325,PG,26,playoffs,14,2,10
2,25,.492,6,2011-12,37,OKC,49,125,118,446,PG,30,playoffs,17,2,20
1,8,.629,8,2012-13,38,OKC,32,96,70,261,SG,16,playoffs,7,1,11
6,16,.397,6,2013-14,39,OKC,23,73,73,299,SG,27,playoffs,13,0,19
