off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
34,862,.544,279,2007-08,23,UTA,566,1545,1117,3059,PG,209,regular,90,23,82
24,725,.506,228,2008-09,24,UTA,463,1322,984,2505,PG,171,regular,73,20,68
50,798,.515,252,2009-10,25,UTA,494,1419,1053,2802,PG,253,regular,96,16,76
40,667,.493,230,2010-11,26,TOT,428,1309,975,2465,PG,220,regular,79,15,65
32,514,.513,187,2010-11,26,UTA,369,1129,806,2009,PG,173,regular,64,12,53
8,153,.396,43,2010-11,26,NJN,59,180,169,456,PG,47,regular,15,3,12
23,481,.467,219,2011-12,27,NJN,391,1154,961,1999,PG,160,regular,67,20,55
29,604,.516,218,2012-13,28,BRK,495,1476,1124,2842,PG,203,regular,75,30,78
15,392,.518,143,2013-14,29,BRK,322,915,716,2059,PG,153,regular,93,13,64
29,448,.443,154,2014-15,30,BRK,298,884,771,2114,PG,208,regular,64,17,68
19,378,.477,150,2015-16,31,DAL,321,918,775,2106,PG,171,regular,61,14,65
14,360,.509,138,2016-17,32,TOT,263,701,600,1657,PG,133,regular,31,8,64
13,274,.500,98,2016-17,32,DAL,195,522,453,1171,PG,89,regular,25,2,40
1,86,.537,40,2016-17,32,CLE,68,179,147,486,PG,44,regular,6,6,24
16,120,.568,37,2007-08,23,UTA,90,259,183,513,PG,27,playoffs,7,4,12
4,54,.479,21,2008-09,24,UTA,29,101,70,211,PG,15,playoffs,9,2,5
4,102,.517,30,2009-10,25,UTA,67,243,149,398,PG,23,playoffs,10,4,10
1,59,.505,21,2012-13,28,BRK,45,144,106,292,PG,21,playoffs,7,4,7
7,70,.454,27,2013-14,29,BRK,60,174,152,428,PG,31,playoffs,13,2,12
3,33,.471,16,2014-15,30,BRK,27,71,69,192,PG,34,playoffs,8,0,6
0,8,.417,7,2015-16,31,DAL,6,15,18,49,PG,2,playoffs,1,0,3
3,38,.531,17,2016-17,32,CLE,28,78,64,262,PG,20,playoffs,10,1,18
