off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
171,39,.517,77,2010-11,19,TOT,215,533,416,1535,PF,241,regular,29,68,78
126,21,.511,56,2010-11,19,NJN,141,353,276,1091,PF,171,regular,18,41,56
45,18,.529,21,2010-11,19,UTA,74,180,140,444,PF,70,regular,11,27,22
158,43,.499,103,2011-12,20,UTA,222,570,445,1376,PF,267,regular,38,65,65
184,75,.482,129,2012-13,21,UTA,274,727,568,1787,PF,362,regular,67,130,77
199,91,.522,129,2013-14,22,UTA,390,970,747,2201,PF,438,regular,75,108,73
196,112,.526,121,2014-15,23,UTA,482,1187,918,2280,PF,411,regular,60,123,74
169,94,.515,104,2015-16,24,UTA,418,1016,811,1983,PF,334,regular,74,91,62
92,56,.490,60,2016-17,25,UTA,203,476,417,1186,PF,213,regular,45,40,50
14,2,.417,5,2011-12,20,UTA,15,47,36,116,PF,24,playoffs,5,6,4
15,10,.581,4,2016-17,25,UTA,36,83,62,225,PF,45,playoffs,8,6,11
