off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
77,38,.449,77,2011-12,20,MIN,205,583,498,1418,PF,234,regular,30,31,66
96,46,.471,101,2012-13,21,MIN,338,933,786,1916,PF,334,regular,44,37,78
71,56,.454,76,2013-14,22,TOT,206,624,482,1820,SF-PF,252,regular,48,20,78
3,1,.370,6,2013-14,22,MIN,19,54,54,162,PF,23,regular,4,4,11
68,55,.465,70,2013-14,22,SAC,187,570,428,1658,SF,229,regular,44,16,67
41,50,.498,56,2014-15,23,SAC,217,617,485,1462,PF,161,regular,34,4,74
47,75,.488,61,2015-16,24,NYK,254,746,565,1435,SF,249,regular,29,9,80
19,28,.504,28,2016-17,25,TOT,108,304,244,804,PF,111,regular,14,7,50
16,14,.427,14,2016-17,25,MIA,54,148,137,377,PF,57,regular,9,5,25
3,14,.603,14,2016-17,25,CLE,54,156,107,427,PF,54,regular,5,2,25
1,4,.633,3,2016-17,25,CLE,8,21,15,38,PF,2,playoffs,0,1,8
