off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
28,369,.504,161,2007-08,24,TOT,321,946,693,2022,PG,145,regular,90,10,64
17,206,.516,93,2007-08,24,DAL,187,560,387,1184,PG,74,regular,56,2,39
11,163,.489,68,2007-08,24,NJN,134,386,306,838,PG,71,regular,34,8,25
30,476,.469,212,2008-09,25,NJN,455,1470,1039,2494,PG,201,regular,114,13,69
24,423,.437,181,2009-10,26,NJN,356,1080,884,2221,PG,179,regular,79,18,64
17,503,.458,207,2010-11,27,TOT,343,1079,813,2254,PG,152,regular,70,7,71
11,411,.452,158,2010-11,27,NJN,260,811,612,1724,PG,118,regular,57,5,54
6,92,.475,49,2010-11,27,UTA,83,268,201,530,PG,34,regular,13,2,17
12,316,.516,122,2011-12,28,UTA,241,715,542,1741,PG,100,regular,64,13,63
6,197,.525,88,2012-13,29,ATL,194,577,443,1421,SG,110,regular,64,13,58
8,178,.439,59,2013-14,30,DAL,96,315,254,818,PG,77,regular,28,2,40
13,237,.509,85,2014-15,31,DAL,219,665,524,1685,PG,122,regular,78,14,76
18,118,.516,66,2015-16,32,DAL,167,487,374,1280,PG,120,regular,60,13,64
11,136,.484,57,2016-17,33,DAL,136,437,341,1087,PG,116,regular,43,7,65
0,15,.438,12,2011-12,28,UTA,19,52,48,120,PG,6,playoffs,3,2,4
2,22,.405,12,2012-13,29,ATL,23,68,63,225,SG,15,playoffs,10,1,6
1,27,.553,11,2013-14,30,DAL,31,80,66,176,PG,16,playoffs,2,2,7
1,4,.348,4,2014-15,31,DAL,8,24,23,74,PG,7,playoffs,2,0,4
1,8,.567,3,2015-16,32,DAL,15,39,30,121,PG,13,playoffs,3,0,5
