off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
95,266,.510,160,2007-08,29,DAL,630,1817,1314,2769,PF,564,regular,51,71,77
88,197,.498,157,2008-09,30,DAL,774,2094,1616,3050,PF,593,regular,61,63,81
80,218,.498,149,2009-10,31,DAL,720,2027,1496,3039,PF,540,regular,70,79,81
50,190,.545,137,2010-11,32,DAL,610,1681,1179,2504,PF,463,regular,38,47,73
46,136,.495,117,2011-12,33,DAL,473,1342,1034,2079,PF,372,regular,42,30,62
37,132,.516,70,2012-13,34,DAL,343,917,728,1661,PF,326,regular,38,37,53
40,216,.549,117,2013-14,35,DAL,633,1735,1273,2628,PF,458,regular,73,45,80
44,143,.508,82,2014-15,36,DAL,487,1333,1062,2282,PF,413,regular,39,33,77
52,132,.504,84,2015-16,37,DAL,498,1372,1112,2364,PF,437,regular,52,52,75
23,82,.495,51,2016-17,38,DAL,296,769,678,1424,PF,330,regular,30,38,54
10,20,.505,10,2007-08,29,DAL,43,134,91,211,PF,50,playoffs,1,7,5
12,31,.535,23,2008-09,30,DAL,88,268,170,394,PF,89,playoffs,9,8,10
7,18,.566,10,2009-10,31,DAL,58,160,106,233,PF,42,playoffs,5,4,6
12,53,.514,65,2010-11,32,DAL,192,582,396,826,PF,159,playoffs,12,13,21
3,7,.448,10,2011-12,33,DAL,34,107,77,154,PF,22,playoffs,3,0,4
5,11,.433,15,2013-14,35,DAL,54,134,126,263,PF,51,playoffs,6,6,7
4,12,.476,10,2014-15,36,DAL,38,106,84,181,PF,48,playoffs,2,2,5
3,8,.518,7,2015-16,37,DAL,41,102,83,170,PF,21,playoffs,2,3,5
