off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
53,40,.383,40,2007-08,22,WAS,39,93,103,695,SG,86,regular,20,26,70
113,198,.435,92,2008-09,23,WAS,140,356,324,2072,SF,315,regular,62,74,79
23,11,.365,17,2009-10,24,TOT,19,38,52,307,SF,56,regular,5,4,51
17,8,.375,10,2009-10,24,WAS,15,30,40,240,SF,44,regular,4,3,41
6,3,.333,7,2009-10,24,SAC,4,8,12,67,SF,12,regular,1,1,10
63,43,.396,25,2010-11,25,CHA,72,174,182,760,SF,136,regular,10,33,52
73,110,.448,56,2011-12,26,GSW,94,227,210,1127,PF,173,regular,44,36,64
19,20,.429,12,2012-13,27,TOT,24,51,56,387,SF,59,regular,13,11,26
11,10,.469,7,2012-13,27,TOR,15,32,32,230,SF,37,regular,5,8,15
7,9,.429,5,2012-13,27,NOH,9,19,21,145,SF,21,regular,8,3,9
1,1,.000,0,2012-13,27,IND,0,0,3,12,SF,1,regular,0,0,2
1,1,,0,2007-08,22,WAS,0,1,0,15,SG,2,playoffs,1,1,3
