off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
18,105,.404,49,2011-12,24,TOT,79,183,198,669,PG,49,regular,13,3,33
1,5,.375,2,2011-12,24,ATL,3,6,8,20,PG,4,regular,1,0,5
2,8,.357,5,2011-12,24,NOH,5,12,14,41,PG,1,regular,2,0,3
15,92,.409,42,2011-12,24,CLE,71,165,176,608,PG,44,regular,10,3,25
3,38,.391,14,2012-13,25,TOT,27,81,78,263,SG-PG,25,regular,5,0,23
3,37,.391,13,2012-13,25,CLE,27,81,78,257,SG,25,regular,5,0,20
0,1,,1,2012-13,25,NOH,0,0,0,6,PG,0,regular,0,0,3
4,50,.419,22,2013-14,26,IND,44,110,117,392,SG,40,regular,10,1,48
12,190,.466,65,2014-15,27,IND,145,391,355,1107,PG,131,regular,23,0,53
17,268,.494,80,2015-16,28,BRK,154,424,350,1318,PG,156,regular,32,4,61
0,3,.357,2,2013-14,26,IND,2,7,7,15,SG,1,playoffs,1,0,4
