off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
175,81,.449,122,2007-08,26,TOT,332,826,740,2122,PF,415,regular,48,53,69
117,50,.444,91,2007-08,26,CLE,232,574,523,1564,PF,306,regular,35,30,51
58,31,.461,31,2007-08,26,CHI,100,252,217,558,PF,109,regular,13,23,18
113,48,.468,76,2008-09,27,TOT,237,605,506,1264,PF,249,regular,30,18,51
82,43,.457,57,2008-09,27,CHI,161,406,352,918,PF,184,regular,26,14,31
3,2,.556,3,2008-09,27,SAC,5,12,9,26,PF,10,regular,0,0,1
28,3,.490,16,2008-09,27,SAS,71,187,145,320,PF,55,regular,4,4,19
207,47,.479,108,2009-10,28,TOT,288,763,602,1755,C-PF,335,regular,41,58,70
123,26,.469,56,2009-10,28,DAL,157,408,336,1030,C,193,regular,26,50,46
84,21,.492,52,2009-10,28,LAC,131,355,266,725,PF,142,regular,15,8,24
73,47,.435,46,2010-11,29,MIL,156,396,362,860,PF,165,regular,21,18,35
130,144,.449,109,2011-12,30,MIL,287,766,657,1469,C,233,regular,46,34,56
13,6,.336,9,2012-13,31,MIL,20,52,61,151,C,18,regular,5,6,16
37,15,.556,17,2013-14,32,WAS,76,183,143,395,C,77,regular,10,7,22
72,49,.440,28,2014-15,33,WAS,110,277,276,864,PF,151,regular,21,9,51
28,13,.354,13,2015-16,34,WAS,33,82,103,305,PF,57,regular,8,11,30
5,1,.333,3,2008-09,27,SAS,11,29,33,71,PF,10,playoffs,1,1,4
20,4,.368,4,2013-14,32,WAS,14,34,38,146,C,22,playoffs,3,4,10
13,8,.475,14,2014-15,33,WAS,23,68,61,178,PF,42,playoffs,2,10,10
