off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
279,110,.599,263,2007-08,22,ORL,583,1695,974,3088,C,882,regular,74,176,82
336,112,.572,240,2008-09,23,ORL,560,1624,979,2821,C,757,regular,77,231,79
284,144,.612,274,2009-10,24,ORL,510,1503,834,2843,C,798,regular,75,228,82
309,107,.593,279,2010-11,25,ORL,619,1784,1044,2935,C,789,regular,107,186,78
200,104,.573,175,2011-12,26,ORL,416,1113,726,2070,C,585,regular,81,116,54
251,108,.579,225,2012-13,27,LAL,470,1296,813,2722,C,694,regular,84,186,76
231,131,.593,229,2013-14,28,HOU,473,1297,800,2396,C,635,regular,60,128,71
110,50,.595,115,2014-15,29,HOU,251,646,423,1223,C,321,regular,28,53,41
238,98,.620,166,2015-16,30,HOU,372,976,600,2280,C,597,regular,69,113,71
296,104,.633,170,2016-17,31,ATL,388,1002,613,2199,C,644,regular,64,92,74
60,9,.581,32,2007-08,22,ORL,72,189,124,421,C,98,playoffs,8,34,10
99,43,.601,67,2008-09,23,ORL,161,467,268,903,C,254,playoffs,20,60,23
38,19,.614,51,2009-10,24,ORL,86,254,140,497,C,117,playoffs,11,49,14
27,3,.630,33,2010-11,25,ORL,51,162,81,258,C,66,playoffs,4,11,6
10,4,.619,16,2012-13,27,LAL,26,68,42,126,C,33,playoffs,2,8,4
27,11,.547,19,2013-14,28,HOU,58,156,106,231,C,55,playoffs,4,17,6
62,20,.577,37,2014-15,29,HOU,105,278,182,574,C,176,playoffs,23,39,17
26,8,.542,12,2015-16,30,HOU,26,66,48,180,C,44,playoffs,4,7,5
18,8,.500,11,2016-17,31,ATL,18,48,36,157,C,46,playoffs,6,5,6
