off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
45,354,.480,224,2007-08,26,MIA,439,1254,937,1954,SG,169,regular,87,37,51
89,589,.516,272,2008-09,27,MIA,854,2386,1739,3048,SG,309,regular,173,106,79
107,501,.500,252,2009-10,28,MIA,719,2045,1511,2792,SG,266,regular,142,82,77
123,346,.523,237,2010-11,29,MIA,692,1941,1384,2823,SG,362,regular,111,87,76
73,225,.506,129,2011-12,30,MIA,416,1082,837,1625,SG,164,regular,82,63,49
86,352,.528,194,2012-13,31,MIA,569,1463,1093,2391,SG,258,regular,128,56,69
60,252,.551,161,2013-14,32,MIA,415,1028,761,1775,SG,181,regular,79,29,54
58,299,.483,209,2014-15,33,MIA,509,1331,1084,1971,SG,161,regular,73,21,62
82,344,.459,203,2015-16,34,MIA,540,1409,1183,2258,SG,220,regular,79,42,74
63,228,.457,138,2016-17,35,CHI,414,1096,955,1792,SG,207,regular,86,41,60
4,37,.497,25,2008-09,27,MIA,68,204,155,285,SG,31,playoffs,6,11,7
6,34,.632,26,2009-10,28,MIA,62,166,110,210,SG,22,playoffs,8,8,5
43,92,.504,64,2010-11,29,MIA,181,515,373,828,SG,107,playoffs,34,28,21
32,100,.474,68,2011-12,30,MIA,197,525,426,907,SG,88,playoffs,39,30,23
38,105,.459,58,2012-13,31,MIA,144,349,315,782,SG,64,playoffs,38,23,22
16,77,.516,54,2013-14,32,MIA,139,356,278,693,SG,61,playoffs,30,5,20
12,60,.492,38,2015-16,34,MIA,119,300,254,473,SG,67,playoffs,11,13,14
6,24,.407,10,2016-17,35,CHI,32,90,86,190,SG,24,playoffs,5,8,6
