off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
168,40,.576,48,2010-11,21,TOR,215,501,373,1602,PF,294,regular,39,67,65
134,60,.513,67,2011-12,22,TOR,172,415,335,1534,PF,304,regular,40,63,66
152,63,.539,63,2012-13,23,TOT,260,623,482,1631,C-PF,308,regular,38,85,81
95,55,.549,45,2012-13,23,TOR,186,438,339,1087,C,205,regular,25,38,45
57,8,.517,18,2012-13,23,MEM,74,185,143,544,PF,103,regular,13,47,36
92,27,.534,40,2013-14,24,MEM,155,357,290,956,PF,168,regular,17,43,63
230,94,.601,58,2014-15,25,LAL,282,656,469,1840,PF,370,regular,49,98,79
224,88,.611,64,2015-16,26,POR,206,526,337,1684,PF,375,regular,57,72,81
96,26,.528,37,2016-17,27,POR,75,200,142,789,PF,148,regular,15,22,46
4,0,.417,2,2012-13,23,MEM,5,13,12,48,PF,7,playoffs,0,1,8
8,0,.300,2,2013-14,24,MEM,3,6,10,25,PF,7,playoffs,1,3,7
26,14,.525,10,2015-16,26,POR,21,61,40,205,PF,49,playoffs,2,7,11
