off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
21,266,.448,85,2009-10,22,TOT,154,382,368,1269,PG,108,regular,40,10,81
10,81,.410,28,2009-10,22,UTA,52,134,133,363,PG,28,regular,13,2,26
11,185,.470,57,2009-10,22,OKC,102,248,235,906,PG,80,regular,27,8,55
25,238,.458,77,2010-11,23,OKC,134,348,333,1200,PG,96,regular,35,6,82
3,22,.436,11,2011-12,24,OKC,14,38,39,137,PG,10,regular,5,0,9
9,182,.438,79,2012-13,25,TOT,106,291,281,963,PG-SG,37,regular,22,1,64
5,73,.378,31,2012-13,25,OKC,36,104,115,391,PG,13,regular,10,0,37
4,109,.479,48,2012-13,25,POR,70,187,166,572,SG,24,regular,12,1,27
9,52,.376,29,2013-14,26,TOT,32,82,101,327,PG,30,regular,9,3,31
7,40,.347,17,2013-14,26,WAS,21,52,72,215,PG,17,regular,5,1,23
2,12,.448,12,2013-14,26,PHI,11,30,29,112,PG,13,regular,4,2,8
1,9,.325,5,2009-10,22,OKC,6,22,20,76,PG,8,playoffs,1,1,6
5,37,.435,16,2010-11,23,OKC,29,82,77,220,PG,17,playoffs,9,0,17
