off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
157,84,.499,71,2009-10,22,MIL,323,840,729,1898,PF,360,regular,53,23,81
105,56,.471,63,2010-11,23,MIL,221,571,507,1505,PF,260,regular,51,24,60
196,71,.535,76,2011-12,24,MIL,294,782,597,1655,PF,333,regular,42,44,60
154,117,.521,75,2012-13,25,MIL,371,962,803,2012,PF,366,regular,68,36,73
107,72,.441,61,2013-14,26,MIL,237,618,579,1478,PF,235,regular,46,8,55
80,56,.539,45,2014-15,27,MIL,263,669,557,1319,PF,197,regular,36,19,58
144,67,.496,71,2015-16,28,TOT,280,767,661,1881,PF,259,regular,52,33,74
99,55,.502,59,2015-16,28,DET,216,589,508,1434,PF,183,regular,38,27,52
45,12,.477,12,2015-16,28,ORL,64,178,153,447,PF,76,regular,14,6,22
115,141,.511,116,2016-17,29,TOT,384,1071,890,2142,PF,366,regular,58,23,82
2,1,.469,4,2016-17,29,OKC,6,15,16,62,PF,14,regular,3,1,3
71,97,.522,78,2016-17,29,PHI,285,786,648,1447,PF,243,regular,33,14,53
42,43,.482,34,2016-17,29,ATL,93,270,226,633,PF,109,regular,22,8,26
21,3,.530,10,2009-10,22,MIL,24,68,50,157,PF,32,playoffs,5,1,7
10,7,.478,6,2012-13,25,MIL,20,46,46,117,PF,19,playoffs,5,1,4
6,3,.369,5,2014-15,27,MIL,20,52,61,142,PF,17,playoffs,5,3,6
14,2,.370,5,2016-17,29,ATL,8,24,23,90,PF,17,playoffs,1,0,6
