off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
15,13,.375,14,2009-10,22,CHA,37,113,104,355,SG,40,regular,10,9,43
49,101,.461,64,2010-11,23,CHA,259,653,570,1661,SG,158,regular,50,32,68
64,126,.467,100,2011-12,24,CHA,332,830,723,1831,SG,161,regular,49,20,55
55,177,.466,108,2012-13,25,CHA,382,1055,855,2133,SG,195,regular,68,34,68
31,199,.455,113,2013-14,26,CHA,403,1081,930,2461,SG,279,regular,51,32,77
36,206,.463,110,2014-15,27,CHO,370,969,847,2315,SG,237,regular,51,22,80
30,75,.484,68,2015-16,28,POR,232,624,529,1431,SG,181,regular,39,19,72
34,112,.478,62,2016-17,29,PHI,234,662,553,1667,SG,151,regular,40,15,72
1,9,.378,6,2013-14,26,CHA,14,39,37,119,SG,15,playoffs,4,1,4
6,17,.409,5,2015-16,28,POR,30,76,82,234,SG,29,playoffs,6,3,11
