off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
58,216,.488,180,2007-08,25,CHA,408,1200,908,2376,PF,315,regular,131,58,62
112,189,.504,148,2008-09,26,CHA,389,1182,811,2669,SF,441,regular,121,67,71
150,161,.511,178,2009-10,27,CHA,456,1386,943,3119,SF,612,regular,117,83,76
111,173,.490,152,2010-11,28,TOT,386,1113,851,2693,SF-PF,458,regular,105,63,71
72,116,.463,100,2010-11,28,CHA,252,749,582,1872,SF,322,regular,59,48,48
39,57,.548,52,2010-11,28,POR,134,364,269,821,PF,136,regular,46,15,23
87,164,.491,111,2011-12,29,TOT,287,800,632,2076,SF,299,regular,85,36,58
63,115,.502,84,2011-12,29,POR,203,557,430,1503,SF,214,regular,62,25,42
24,49,.465,27,2011-12,29,NJN,84,243,202,573,SF,85,regular,23,11,16
69,181,.448,110,2012-13,30,BRK,182,531,458,2076,SF,250,regular,97,46,69
36,143,.546,97,2013-14,31,BOS,116,298,230,1416,SF,176,regular,73,14,58
17,11,.426,18,2014-15,32,BOS,14,35,34,286,SF,40,regular,15,4,32
2,9,.534,3,2009-10,27,CHA,21,70,44,164,SF,34,playoffs,5,6,4
9,17,.470,15,2010-11,28,POR,30,91,67,226,PF,46,playoffs,8,3,6
5,17,.545,9,2012-13,30,BRK,31,84,67,243,SF,23,playoffs,8,5,7
0,0,.000,0,2014-15,32,BOS,0,0,1,4,SF,1,playoffs,0,0,1
