off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
12,151,.461,70,2010-11,24,MEM,95,249,233,860,SG,61,regular,22,4,70
23,359,.471,148,2011-12,25,NOH,225,589,523,1706,SG,150,regular,60,8,66
43,704,.474,247,2012-13,26,NOH,438,1083,1012,2685,PG,294,regular,66,6,78
20,323,.504,128,2013-14,27,TOT,277,758,658,1779,SG-PG,153,regular,31,5,79
5,95,.487,27,2013-14,27,SAC,65,176,150,465,PG,29,regular,6,1,18
15,228,.509,101,2013-14,27,TOR,212,582,508,1314,SG,124,regular,25,4,61
22,302,.500,119,2014-15,28,TOR,296,775,725,1991,PG,194,regular,46,10,82
5,91,.391,40,2015-16,29,MIL,45,130,138,460,PG,42,regular,10,0,23
0,5,.313,1,2016-17,30,BRK,2,7,8,39,PG,2,regular,1,1,3
3,25,.561,9,2010-11,24,MEM,21,56,41,142,SG,16,playoffs,5,2,13
3,36,.500,10,2013-14,27,TOR,27,71,64,190,SG,23,playoffs,4,1,7
0,12,.466,4,2014-15,28,TOR,11,30,29,101,PG,7,playoffs,2,0,4
