off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
83,409,.524,246,2007-08,28,ORL,556,1602,1219,3026,SF,388,regular,74,25,82
45,375,.478,204,2008-09,29,ORL,423,1294,1025,2815,SF,365,regular,64,19,77
42,304,.490,125,2009-10,30,TOR,276,835,674,2272,SF,301,regular,55,32,74
45,343,.534,132,2010-11,31,TOT,322,877,722,2540,SF-PF,311,regular,72,34,81
20,58,.547,31,2010-11,31,PHO,85,237,193,630,PF,80,regular,18,14,25
25,285,.529,101,2010-11,31,ORL,237,640,529,1910,SF,231,regular,54,20,56
24,233,.505,142,2011-12,32,ORL,209,576,504,1653,SF,175,regular,45,17,53
4,23,.274,12,2012-13,33,ORL,14,32,53,189,SF,22,regular,7,1,11
11,33,.486,16,2013-14,34,LAC,42,115,109,392,SF,78,regular,19,10,38
5,37,.601,29,2014-15,35,LAC,83,232,188,705,SF,94,regular,19,7,62
14,55,.482,38,2007-08,28,ORL,63,175,141,399,SF,50,playoffs,8,2,10
9,116,.481,64,2008-09,29,ORL,126,378,295,934,SF,100,playoffs,18,4,24
1,22,.346,7,2010-11,31,ORL,20,55,68,209,SF,18,playoffs,8,1,6
4,12,.427,9,2011-12,32,ORL,15,42,41,162,SF,10,playoffs,5,4,5
0,1,.615,0,2013-14,34,LAC,6,16,13,41,SF,5,playoffs,3,0,5
1,4,.294,2,2014-15,35,LAC,4,10,17,55,SF,6,playoffs,4,1,11
