off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
65,23,.453,59,2007-08,23,NOH,67,178,148,732,C,98,regular,15,34,65
81,29,.561,80,2008-09,24,NOH,138,338,246,1092,C,114,regular,26,45,70
27,21,.354,22,2009-10,25,TOT,28,71,79,335,PF-C,54,regular,15,12,33
17,16,.380,13,2009-10,25,NOH,19,51,50,239,PF,44,regular,8,8,18
5,2,.333,4,2009-10,25,SAC,4,10,12,56,C,9,regular,2,4,6
5,3,.294,5,2009-10,25,HOU,5,10,17,40,C,1,regular,5,0,9
42,14,.500,28,2010-11,26,TOT,37,92,76,488,C,89,regular,18,21,53
39,10,.492,25,2010-11,26,WAS,31,77,64,412,C,75,regular,15,16,41
3,4,.542,3,2010-11,26,ATL,6,15,12,76,C,14,regular,3,5,12
19,5,.474,6,2013-14,29,GSW,9,25,19,97,C,28,regular,4,4,15
9,0,.615,4,2007-08,23,NOH,8,21,13,72,C,11,playoffs,0,6,8
3,1,.462,6,2008-09,24,NOH,6,15,13,53,C,5,playoffs,4,1,4
4,1,.200,2,2010-11,26,ATL,1,5,5,35,C,6,playoffs,3,0,8
3,2,.500,4,2013-14,29,GSW,4,8,8,17,C,1,playoffs,0,2,7
