off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
0,1,.500,2,2007-08,21,SAS,6,21,12,23,C,5,regular,0,4,6
13,2,.636,15,2009-10,23,SAS,35,101,55,165,C,39,regular,3,8,26
43,8,.561,25,2010-11,24,DAL,55,173,98,488,C,77,regular,14,15,56
108,12,.546,50,2011-12,25,DAL,130,354,238,1139,C,181,regular,38,31,61
115,27,.453,92,2012-13,26,IND,149,402,329,1322,C,196,regular,39,66,80
107,24,.481,58,2013-14,27,IND,91,272,189,1248,C,150,regular,41,72,77
105,33,.552,59,2014-15,28,IND,117,265,212,1146,C,251,regular,30,46,61
138,104,.589,100,2015-16,29,IND,264,660,448,1816,C,369,regular,65,75,71
47,19,.586,34,2016-17,30,WAS,65,173,111,555,C,103,regular,33,24,31
0,0,.500,2,2009-10,23,SAS,3,9,6,19,C,2,playoffs,0,1,2
3,0,.600,0,2010-11,24,DAL,3,11,5,33,C,3,playoffs,1,0,6
9,0,.643,1,2011-12,25,DAL,9,29,14,70,C,9,playoffs,3,3,4
20,1,.448,12,2012-13,26,IND,13,29,29,150,C,22,playoffs,0,13,18
22,3,.481,10,2013-14,27,IND,13,37,27,241,C,23,playoffs,5,16,19
12,8,.500,14,2015-16,29,IND,21,57,42,172,C,24,playoffs,5,6,7
3,6,.556,3,2016-17,30,WAS,5,14,9,63,C,8,playoffs,1,6,5
