off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
4,58,.479,35,2007-08,23,DAL,71,191,170,460,PG,43,regular,14,1,44
36,269,.491,105,2008-09,24,DAL,246,617,557,1600,SG,141,regular,37,5,79
17,258,.493,102,2009-10,25,DAL,232,596,527,1546,PG,129,regular,35,6,78
29,317,.490,136,2010-11,26,DAL,285,769,649,1669,PG,130,regular,30,1,81
14,232,.463,103,2011-12,27,MIN,167,463,418,1032,PG,100,regular,21,0,41
34,294,.481,145,2012-13,28,MIN,316,834,758,1713,PG,173,regular,32,0,74
16,303,.443,125,2013-14,29,MIN,254,660,656,1471,PG,138,regular,26,0,79
23,263,.470,70,2014-15,30,DAL,225,580,536,1362,PG,111,regular,33,1,77
26,302,.516,113,2015-16,31,DAL,317,808,711,1667,PG,126,regular,26,2,74
9,193,.491,63,2016-17,32,DAL,142,381,343,771,PG,75,regular,14,1,35
0,1,1.000,0,2007-08,23,DAL,3,8,4,5,PG,0,playoffs,0,0,1
3,34,.472,6,2008-09,24,DAL,31,76,71,221,SG,17,playoffs,3,0,10
4,15,.459,10,2009-10,25,DAL,15,35,37,105,PG,8,playoffs,2,1,6
8,71,.465,23,2010-11,26,DAL,72,187,172,390,PG,31,playoffs,6,0,21
5,37,.474,14,2014-15,30,DAL,25,59,57,154,PG,19,playoffs,4,0,5
0,20,.338,11,2015-16,31,DAL,11,25,34,100,PG,6,playoffs,0,0,4
