off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
1,16,.523,15,2007-08,23,ORL,48,140,108,276,SG,22,regular,4,0,34
8,73,.503,54,2008-09,24,ORL,117,382,299,1111,SG,101,regular,21,1,64
17,158,.540,63,2009-10,25,ORL,243,788,553,1808,SG,138,regular,28,4,82
6,102,.538,53,2010-11,26,ORL,197,593,447,1513,SG,107,regular,29,3,59
18,164,.521,68,2011-12,27,ORL,248,751,584,1765,SG,132,regular,27,6,65
17,296,.528,138,2012-13,28,TOT,382,1100,880,2379,SG,154,regular,38,9,78
9,220,.551,105,2012-13,28,ORL,262,756,582,1575,SG,110,regular,29,5,50
8,76,.483,33,2012-13,28,MIL,120,344,298,804,SG,44,regular,9,4,28
9,78,.546,42,2013-14,29,LAC,181,532,398,987,SG,65,regular,28,3,35
22,137,.583,95,2014-15,30,LAC,447,1277,938,2409,SG,145,regular,39,8,78
10,106,.593,78,2015-16,31,LAC,422,1226,880,2097,SG,129,regular,42,5,75
11,110,.558,98,2016-17,32,LAC,396,1173,890,2198,SG,160,regular,54,13,78
0,0,.000,0,2007-08,23,ORL,0,0,4,10,SG,1,playoffs,0,0,2
2,31,.500,7,2008-09,24,ORL,31,96,83,327,SG,17,playoffs,8,1,16
4,19,.528,20,2009-10,25,ORL,30,105,71,269,SG,20,playoffs,10,0,14
0,6,.369,7,2010-11,26,ORL,15,40,42,120,SG,11,playoffs,1,1,6
0,16,.477,6,2011-12,27,ORL,19,54,44,123,SG,5,playoffs,1,0,5
0,5,.520,6,2012-13,28,MIL,11,29,25,69,SG,3,playoffs,1,0,4
4,19,.556,13,2013-14,29,LAC,61,173,133,351,SG,18,playoffs,11,0,13
0,24,.543,26,2014-15,30,LAC,70,208,161,540,SG,30,playoffs,10,5,14
1,5,.500,5,2015-16,31,LAC,34,81,79,166,SG,11,playoffs,1,1,6
0,6,.470,13,2016-17,32,LAC,19,64,50,206,SG,12,playoffs,2,0,7
