off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
37,398,.473,192,2007-08,27,NYK,570,1645,1391,3190,SG,170,regular,81,17,80
23,288,.479,148,2008-09,28,TOT,419,1280,1022,2479,PG-SG,170,regular,57,13,65
2,48,.536,26,2008-09,28,NYK,73,216,169,392,SG,15,regular,9,0,11
21,240,.468,122,2008-09,28,GSW,346,1064,853,2087,PG,155,regular,48,13,54
34,238,.523,137,2009-10,29,ATL,496,1425,1105,2460,SG,167,regular,61,12,79
22,241,.489,145,2010-11,30,ATL,368,1077,874,2297,SG,108,regular,57,14,76
16,191,.438,111,2011-12,31,POR,283,837,737,1613,PG,102,regular,55,14,60
22,193,.511,146,2012-13,32,LAC,445,1255,1016,2230,SG,106,regular,79,13,76
34,223,.496,135,2013-14,33,LAC,421,1282,1011,2094,SG,124,regular,59,12,69
18,158,.467,92,2014-15,34,LAC,332,1010,839,1703,SG,106,regular,59,14,64
20,183,.466,113,2015-16,35,LAC,379,1120,939,2126,SG,125,regular,52,12,79
17,214,.479,134,2016-17,36,LAC,359,1008,870,2157,SG,112,regular,61,14,82
1,30,.422,20,2009-10,29,ATL,56,179,154,351,SG,29,playoffs,9,1,11
1,30,.461,16,2010-11,30,ATL,61,185,155,358,SG,15,playoffs,9,4,12
2,10,.435,4,2012-13,32,LAC,24,65,62,161,SG,10,playoffs,3,1,6
5,26,.477,15,2013-14,33,LAC,68,202,171,313,SG,14,playoffs,12,2,13
6,27,.409,17,2014-15,34,LAC,67,178,186,379,SG,24,playoffs,13,3,14
2,13,.398,9,2015-16,35,LAC,39,104,103,199,SG,11,playoffs,10,0,6
2,13,.458,9,2016-17,36,LAC,35,88,83,196,SG,7,playoffs,4,1,7
