off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
28,383,.522,141,2007-08,25,ORL,283,755,603,1961,PG,215,regular,63,4,69
20,226,.580,83,2008-09,26,ORL,267,702,531,1309,PG,125,regular,51,3,42
26,353,.510,139,2009-10,27,ORL,317,818,706,1860,PG,168,regular,48,2,65
37,456,.517,194,2010-11,28,ORL,374,997,838,2319,PG,189,regular,75,3,76
29,325,.499,135,2011-12,29,ORL,259,676,606,1706,PG,152,regular,38,5,57
23,413,.470,154,2012-13,30,ORL,306,822,780,1977,PG,186,regular,71,6,56
29,476,.485,166,2013-14,31,ORL,294,820,747,2179,PG,202,regular,52,5,68
33,253,.495,109,2014-15,32,TOT,205,523,504,1407,PG,113,regular,47,6,63
14,95,.491,39,2014-15,32,DAL,61,167,163,584,PG,49,regular,15,2,23
3,33,.280,9,2014-15,32,BOS,9,29,41,121,PG,14,regular,7,0,6
16,125,.527,61,2014-15,32,DEN,135,327,300,702,PG,50,regular,25,4,34
19,190,.438,66,2015-16,33,DEN,113,299,307,1036,PG,96,regular,25,5,39
28,385,.531,128,2016-17,34,DEN,268,687,604,2045,PG,164,regular,54,8,75
4,47,.593,21,2007-08,25,ORL,57,162,113,333,PG,37,playoffs,3,2,10
1,14,.370,7,2008-09,26,ORL,8,19,23,90,PG,6,playoffs,1,0,5
9,67,.566,35,2009-10,27,ORL,91,266,190,479,PG,41,playoffs,14,0,14
7,30,.415,8,2010-11,28,ORL,31,79,82,216,PG,18,playoffs,12,0,6
1,33,.446,10,2011-12,29,ORL,29,78,74,182,PG,18,playoffs,4,1,5
