off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
121,81,.481,50,2007-08,22,CHA,163,422,348,1384,PF,165,regular,55,10,73
82,56,.528,43,2008-09,23,TOT,136,372,285,1155,SF,123,regular,57,8,68
25,19,.484,10,2008-09,23,CHA,45,108,96,427,SF,34,regular,18,2,20
57,37,.550,33,2008-09,23,PHO,91,264,189,728,SF,89,regular,39,6,48
99,115,.582,68,2009-10,24,PHO,225,674,490,1991,SF,182,regular,81,16,82
111,108,.560,77,2010-11,25,PHO,300,867,629,2140,SF,207,regular,87,20,82
95,112,.547,72,2011-12,26,PHO,312,823,643,2020,SG,206,regular,49,19,65
79,203,.547,101,2012-13,27,PHO,313,861,669,2170,SF,166,regular,75,8,79
36,104,.529,56,2013-14,28,LAC,196,511,447,1729,SF,124,regular,41,10,74
45,130,.556,62,2014-15,29,MIL,198,518,423,1717,SG,175,regular,72,11,72
54,170,.581,80,2015-16,30,WAS,233,638,487,2098,PF,232,regular,75,18,81
31,121,.565,73,2016-17,31,PHO,157,434,346,1362,PF,194,regular,42,16,64
15,28,.610,9,2009-10,24,PHO,40,122,86,377,SF,45,playoffs,18,6,16
0,2,.409,0,2013-14,28,LAC,3,9,11,45,SF,6,playoffs,1,0,7
3,8,.600,5,2014-15,29,MIL,14,40,30,110,SG,8,playoffs,12,2,6
