off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
31,313,.483,178,2007-08,24,POR,267,814,620,2229,SG,203,regular,61,1,82
44,338,.498,184,2008-09,25,IND,386,1074,853,2716,SG,232,regular,88,17,82
30,413,.542,163,2009-10,26,TOR,323,931,671,2243,PG,192,regular,60,6,82
20,242,.434,110,2010-11,27,TOT,260,735,637,1722,SG-PG,153,regular,54,6,83
6,59,.410,34,2010-11,27,TOR,48,140,122,347,PG,36,regular,14,0,13
14,183,.440,76,2010-11,27,NOH,212,595,515,1375,SG,117,regular,40,6,70
23,285,.490,106,2011-12,28,NOH,266,700,583,1530,PG,153,regular,31,9,45
21,439,.499,157,2012-13,29,GSW,387,1023,857,2349,SG,222,regular,60,11,79
22,324,.455,133,2013-14,30,CLE,286,760,698,2252,PG,201,regular,56,22,80
19,373,.463,191,2014-15,31,BRK,359,957,817,2241,PG,226,regular,75,13,80
9,236,.434,94,2015-16,32,BRK,140,411,358,1027,PG,127,regular,34,7,32
0,5,.667,3,2016-17,33,NOP,2,6,3,33,PG,0,regular,2,0,2
1,13,.353,8,2010-11,27,NOH,12,35,34,111,SG,14,playoffs,1,1,6
7,56,.529,38,2012-13,29,GSW,78,206,154,426,SG,46,playoffs,11,4,12
2,27,.565,20,2014-15,31,BRK,28,74,54,153,PG,23,playoffs,7,1,6
