off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
64,25,.469,48,2007-08,29,TOT,53,140,113,1172,C,114,regular,23,25,74
35,19,.426,23,2007-08,29,NJN,23,60,54,684,C,54,regular,11,8,43
29,6,.508,25,2007-08,29,MEM,30,80,59,488,C,60,regular,12,17,31
28,11,.314,12,2008-09,30,MIN,22,57,70,422,C,42,regular,9,13,31
5,4,.348,5,2009-10,31,ATL,8,16,23,115,C,9,regular,3,2,24
30,22,.486,26,2010-11,32,ATL,34,96,71,593,C,72,regular,9,9,49
12,10,.400,10,2011-12,33,ATL,16,39,40,308,C,36,regular,4,3,30
22,8,.310,18,2012-13,34,TOT,9,41,29,384,C,38,regular,12,10,38
21,6,.348,16,2012-13,34,BOS,8,37,23,330,C,31,regular,10,6,32
1,2,.167,2,2012-13,34,WAS,1,4,6,54,C,7,regular,2,4,6
7,4,.458,7,2013-14,35,BRK,11,25,24,172,C,12,regular,8,1,22
3,0,.600,1,2009-10,31,ATL,3,6,5,10,C,2,playoffs,0,0,3
6,1,.643,5,2010-11,32,ATL,9,21,14,158,C,11,playoffs,5,3,12
4,0,.545,10,2011-12,33,ATL,6,12,11,85,C,8,playoffs,1,0,5
