off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
177,46,.538,71,2007-08,24,DET,240,651,446,1768,C,256,regular,21,94,82
169,24,.575,45,2008-09,25,DET,184,452,320,1408,C,155,regular,25,63,78
161,39,.511,68,2009-10,26,DET,212,513,415,1550,C,240,regular,36,38,76
66,17,.492,44,2010-11,27,DET,93,237,189,930,PF,107,regular,24,21,57
126,41,.478,71,2011-12,28,DET,183,424,383,1466,PF,207,regular,32,50,65
135,54,.446,81,2012-13,29,DET,204,498,457,1789,PF,274,regular,32,95,72
28,9,.448,14,2013-14,30,ORL,47,109,105,488,PF,58,regular,8,20,34
86,19,.422,29,2014-15,31,CHO,81,203,192,878,PF,117,regular,18,44,61
21,16,.625,11,2007-08,24,DET,40,95,64,371,C,47,playoffs,15,22,17
7,2,.500,1,2008-09,25,DET,5,15,10,64,C,6,playoffs,1,1,4
