off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
25,1,.662,12,2009-10,22,POR,43,104,65,405,C,73,regular,7,16,39
12,4,.417,2,2011-12,24,IND,15,34,36,106,C,21,regular,3,2,20
29,15,.492,23,2012-13,25,IND,61,145,126,369,PF,75,regular,6,12,37
89,60,.580,63,2013-14,26,SAS,101,240,174,952,PF,169,regular,13,25,73
37,14,.579,26,2014-15,27,SAS,55,137,95,383,PF,80,regular,8,8,51
4,5,.522,6,2015-16,28,LAC,12,30,23,107,C,18,regular,0,3,17
2,0,.500,1,2009-10,22,POR,2,7,4,17,C,0,playoffs,2,3,3
0,0,.333,0,2011-12,24,IND,1,2,3,9,C,2,playoffs,0,0,4
4,1,.333,3,2012-13,25,IND,8,16,24,71,PF,14,playoffs,0,2,9
6,5,.462,1,2013-14,26,SAS,6,17,13,65,PF,13,playoffs,0,0,17
0,2,.000,0,2014-15,27,SAS,0,0,1,12,PF,3,playoffs,0,0,3
0,0,1.000,0,2015-16,28,LAC,1,3,1,2,C,0,playoffs,0,0,2
