off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
5,122,.412,50,2009-10,21,ATL,90,228,227,719,PG,62,regular,34,11,71
11,138,.467,64,2010-11,22,ATL,133,361,304,963,PG,91,regular,45,25,70
21,321,.514,134,2011-12,23,ATL,320,831,672,2183,PG,138,regular,106,37,66
25,579,.496,230,2012-13,24,ATL,439,1166,974,2628,PG,155,regular,117,28,80
34,528,.474,232,2013-14,25,ATL,456,1304,1040,2542,PG,174,regular,89,17,79
30,513,.500,205,2014-15,26,ATL,408,1162,887,2228,PG,154,regular,125,31,73
33,470,.495,218,2015-16,27,ATL,434,1239,988,2255,PG,181,regular,97,24,79
33,639,.492,216,2016-17,28,IND,402,1254,909,2657,PG,297,regular,100,32,82
0,4,.381,4,2009-10,21,ATL,7,16,21,59,PG,2,playoffs,3,1,9
0,28,.521,8,2010-11,22,ATL,37,94,72,238,PG,17,playoffs,6,3,8
4,25,.459,10,2011-12,23,ATL,30,84,73,225,PG,18,playoffs,5,5,6
3,30,.352,14,2012-13,24,ATL,27,80,81,213,PG,14,playoffs,9,2,6
5,35,.433,21,2013-14,25,ATL,44,135,112,242,PG,21,playoffs,7,4,7
10,107,.454,43,2014-15,26,ATL,98,269,239,529,PG,41,playoffs,24,7,16
3,62,.417,25,2015-16,27,ATL,46,145,121,279,PG,16,playoffs,6,2,10
0,25,.589,8,2016-17,28,IND,22,68,45,142,PG,13,playoffs,4,3,4
