off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
82,93,.439,106,2007-08,29,IND,225,571,512,1206,C,201,regular,20,87,42
126,122,.474,144,2008-09,30,TOT,365,905,770,2027,C,307,regular,29,136,68
71,67,.473,92,2008-09,30,TOR,220,555,465,1216,C,217,regular,18,82,41
55,55,.475,52,2008-09,30,MIA,145,350,305,811,C,90,regular,11,54,27
124,92,.529,125,2009-10,31,MIA,394,950,745,1991,C,362,regular,25,95,70
25,12,.459,27,2010-11,32,BOS,50,129,109,431,C,63,regular,2,30,24
37,10,.433,21,2011-12,33,BOS,52,125,120,570,C,98,regular,8,43,25
82,42,.482,73,2012-13,34,PHO,179,454,371,1029,C,211,regular,19,78,55
85,25,.504,52,2013-14,35,GSW,125,349,248,883,PF,157,regular,14,40,44
7,9,.549,10,2008-09,30,MIA,28,80,51,162,C,20,playoffs,3,9,6
10,5,.205,7,2009-10,31,MIA,9,21,44,117,C,18,playoffs,4,10,5
15,8,.488,8,2010-11,32,BOS,21,52,43,197,C,23,playoffs,2,16,9
12,1,.563,4,2013-14,35,GSW,18,42,32,84,PF,12,playoffs,1,3,7
