off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
23,14,.418,14,2011-12,22,CHI,32,109,79,359,SG,33,regular,11,5,42
136,115,.506,62,2012-13,23,CHI,239,705,512,2134,SF,192,regular,78,31,82
87,175,.446,102,2013-14,24,CHI,275,878,693,2591,SG,243,regular,127,36,67
114,212,.502,93,2014-15,25,CHI,421,1301,912,2513,SG,265,regular,114,36,65
79,321,.485,132,2015-16,26,CHI,470,1399,1035,2474,SG,279,regular,110,43,67
129,417,.492,159,2016-17,27,CHI,570,1816,1252,2809,SF,341,regular,143,32,76
0,0,,0,2011-12,22,CHI,0,0,0,4,SG,0,playoffs,0,0,3
9,32,.500,16,2012-13,23,CHI,50,160,115,490,SF,53,playoffs,15,6,12
6,11,.439,3,2013-14,24,CHI,22,68,57,218,SG,20,playoffs,6,0,5
18,38,.507,21,2014-15,25,CHI,94,275,213,506,SG,49,playoffs,29,9,12
9,26,.454,15,2016-17,27,CHI,46,136,108,239,SF,35,playoffs,10,5,6
