off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
83,474,.489,223,2007-08,26,ATL,647,1779,1497,3343,SG,284,regular,84,18,82
65,455,.489,195,2008-09,27,ATL,620,1688,1420,3124,SG,281,regular,84,19,79
74,369,.505,145,2009-10,28,ATL,635,1619,1386,2886,SG,279,regular,82,5,76
59,338,.481,146,2010-11,29,ATL,514,1312,1161,2554,SG,232,regular,47,7,72
53,232,.521,116,2011-12,30,ATL,423,1129,931,2127,SG,168,regular,48,13,60
53,253,.493,123,2012-13,31,BRK,445,1170,1052,2642,SG,165,regular,49,14,72
48,216,.533,120,2013-14,32,BRK,462,1245,1018,2575,SG,222,regular,47,10,79
53,292,.494,137,2014-15,33,BRK,446,1154,1025,2791,SG,331,regular,59,14,80
49,318,.509,159,2015-16,34,TOT,377,992,859,2703,SF,243,regular,61,4,81
34,232,.476,116,2015-16,34,BRK,247,671,608,1934,SF,190,regular,40,2,57
15,86,.588,43,2015-16,34,MIA,130,321,251,769,SF,53,regular,21,2,24
33,144,.521,69,2016-17,35,UTA,273,715,626,1843,SF,210,regular,36,18,78
9,28,.478,16,2007-08,26,ATL,47,140,115,275,SG,18,playoffs,2,0,7
17,39,.452,32,2008-09,27,ATL,70,180,168,429,SG,32,playoffs,14,0,11
20,55,.410,25,2009-10,28,ATL,77,197,199,440,SG,36,playoffs,10,3,11
18,40,.485,31,2010-11,29,ATL,87,226,198,497,SG,37,playoffs,13,1,12
6,21,.417,16,2011-12,30,ATL,38,103,102,243,SG,15,playoffs,8,1,6
4,19,.466,12,2012-13,31,BRK,43,104,103,271,SG,18,playoffs,8,0,7
9,35,.592,19,2013-14,32,BRK,98,254,184,469,SG,37,playoffs,6,3,12
5,29,.426,5,2014-15,33,BRK,34,99,94,249,SG,41,playoffs,7,0,6
7,35,.472,18,2015-16,34,MIA,68,170,158,492,SF,59,playoffs,8,3,14
8,27,.492,13,2016-17,35,UTA,58,142,133,326,SF,35,playoffs,6,1,11
