off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
38,3,.467,17,2007-08,25,MIA,28,85,60,498,PF,55,regular,9,31,24
89,27,.483,41,2008-09,26,MIA,57,144,118,1048,C,108,regular,20,93,65
123,12,.478,45,2009-10,27,MIA,76,218,159,1322,C,126,regular,20,109,80
104,24,.535,36,2010-11,28,MIA,53,153,99,1463,C,162,regular,10,93,75
100,9,.559,45,2011-12,29,MIA,85,219,152,1349,C,150,regular,36,84,64
45,13,.515,22,2012-13,30,MIA,35,87,68,566,C,70,regular,13,42,62
15,2,.375,3,2013-14,31,TOT,12,28,32,186,C,23,regular,3,12,33
2,0,.333,1,2013-14,31,MIA,2,6,6,37,C,5,regular,0,4,12
13,2,.385,2,2013-14,31,BOS,10,22,26,149,C,18,regular,3,8,21
32,5,.581,12,2014-15,32,DET,36,87,62,406,C,61,regular,12,49,49
8,1,.600,2,2015-16,33,DET,6,18,10,96,C,13,regular,2,12,19
8,3,.625,4,2016-17,34,SAS,10,25,16,122,C,23,regular,2,6,19
9,2,.800,1,2008-09,26,MIA,4,10,5,88,C,10,playoffs,0,7,6
6,1,.714,1,2009-10,27,MIA,5,13,7,79,C,3,playoffs,2,5,5
35,10,.367,13,2010-11,28,MIA,18,58,49,575,C,62,playoffs,8,38,21
22,2,.586,8,2011-12,29,MIA,17,54,29,329,C,33,playoffs,5,16,17
10,0,.300,3,2012-13,30,MIA,3,6,10,71,C,11,playoffs,2,4,14
2,0,.750,1,2016-17,34,SAS,3,6,4,15,C,2,playoffs,0,2,3
